Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Jrue Holiday,20191102,NOP,0,OKC,115,NOP,104,34.85,6,15,0.4,2,5,0.4,2,2,1.0,0,3,3,6,1,0,2,4,16,-10,.504,.467,.333,.133,0.0,8.8,4.1,26.0,1.4,0.0,11.2,20.6,109,117,-2.0
Lonzo Ball,20191102,NOP,0,OKC,115,NOP,104,32.52,4,11,0.364,2,5,0.4,0,2,0.0,2,6,8,7,3,0,5,3,10,+4,.421,.455,.455,.182,5.6,18.8,11.8,30.3,4.4,0.0,29.6,20.8,81,108,-1.6
Jahlil Okafor,20191102,NOP,0,OKC,115,NOP,104,29.2,7,14,0.5,0,0,,1,3,0.33299999999999996,6,6,12,3,0,2,4,5,15,+2,.490,.500,.000,.214,18.6,21.0,19.7,17.3,0.0,6.2,20.7,26.5,95,112,-3.7
Brandon Ingram,20191102,NOP,0,OKC,115,NOP,104,13.17,3,5,0.6,0,0,,1,4,0.25,1,3,4,1,0,1,1,0,7,+4,.518,.600,.000,.800,6.9,23.3,14.6,12.5,0.0,6.9,12.9,23.6,97,111,1.7
Nicolò Melli,20191102,NOP,0,OKC,115,NOP,104,10.42,1,2,0.5,0,1,0.0,2,2,1.0,0,2,2,0,0,0,1,1,4,-12,.694,.500,.500,1.000,0.0,19.6,9.2,0.0,0.0,0.0,25.8,14.9,106,117,-7.0
Josh Hart,20191102,NOP,0,OKC,115,NOP,104,30.05,5,11,0.455,2,5,0.4,0,0,,3,12,15,3,1,1,1,2,12,0,.545,.545,.455,.000,9.0,40.8,24.0,15.0,1.6,3.0,8.3,16.0,120,107,5.9
J.J. Redick,20191102,NOP,0,OKC,115,NOP,104,26.87,6,12,0.5,4,9,0.444,1,2,0.5,0,3,3,1,1,0,0,0,17,-17,.660,.667,.750,.167,0.0,11.4,5.4,6.1,1.8,0.0,0.0,19.2,138,115,7.5
Frank Jackson,20191102,NOP,0,OKC,115,NOP,104,22.1,4,11,0.364,0,3,0.0,4,5,0.8,0,0,0,1,0,0,1,1,12,-16,.455,.364,.273,.455,0.0,0.0,0.0,6.9,0.0,0.0,7.0,25.8,97,122,-8.3
Kenrich Williams,20191102,NOP,0,OKC,115,NOP,104,19.1,1,3,0.33299999999999996,1,3,0.33299999999999996,0,0,,1,2,3,0,0,1,1,2,3,0,.500,.500,1.000,.000,4.7,10.7,7.5,0.0,0.0,4.7,25.0,8.4,84,116,-5.7
Jaxson Hayes,20191102,NOP,0,OKC,115,NOP,104,13.82,2,5,0.4,0,0,,0,0,,4,1,5,3,1,0,0,5,4,-4,.400,.400,.000,.000,26.2,7.4,17.4,31.5,3.4,0.0,0.0,14.5,132,112,1.8
Nickeil Alexander-Walker,20191102,NOP,0,OKC,115,NOP,104,7.92,1,5,0.2,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,2,4,-6,.340,.200,.200,.400,0.0,12.9,6.1,0.0,0.0,0.0,0.0,29.8,84,119,-16.8
