Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
LeBron James,20191108,LAL,1,LAL,95,MIA,80,36.05,10,19,0.526,4,7,0.5710000000000001,1,2,0.5,1,3,4,6,0,0,3,2,25,+16,.629,.632,.368,.105,3.4,8.7,6.3,29.9,0.0,0.0,13.1,27.6,114,93,9.7
Anthony Davis,20191108,LAL,1,LAL,95,MIA,80,34.75,11,17,0.647,0,0,,4,4,1.0,2,6,8,7,2,3,2,4,26,+27,.693,.647,.000,.235,7.1,18.0,13.0,39.0,2.9,9.2,9.6,25.9,136,77,22.3
Avery Bradley,20191108,LAL,1,LAL,95,MIA,80,24.9,4,9,0.444,1,4,0.25,0,0,,1,4,5,3,0,0,2,4,9,+24,.500,.500,.444,.000,4.9,16.8,11.3,17.9,0.0,0.0,18.2,19.2,93,90,-1.7
Danny Green,20191108,LAL,1,LAL,95,MIA,80,23.3,1,7,0.14300000000000002,1,5,0.2,1,1,1.0,1,2,3,2,2,0,2,4,4,+17,.269,.214,.714,.143,5.3,9.0,7.3,10.9,4.4,0.0,21.2,17.6,62,82,-5.0
JaVale McGee,20191108,LAL,1,LAL,95,MIA,80,15.9,4,7,0.5710000000000001,0,0,,1,1,1.0,3,7,10,1,1,1,1,1,9,+20,.605,.571,.000,.143,23.2,45.9,35.5,10.8,3.2,6.7,11.8,23.1,119,70,13.3
Kyle Kuzma,20191108,LAL,1,LAL,95,MIA,80,25.3,3,9,0.33299999999999996,1,7,0.14300000000000002,0,0,,1,4,5,1,0,0,4,2,7,-11,.389,.389,.778,.000,4.9,16.5,11.2,5.5,0.0,0.0,30.8,22.3,59,90,-10.3
Alex Caruso,20191108,LAL,1,LAL,95,MIA,80,18.68,3,6,0.5,0,1,0.0,0,0,,0,3,3,4,0,1,1,1,6,+1,.500,.500,.167,.000,0.0,16.8,9.1,31.8,0.0,5.7,14.3,16.3,105,87,5.3
Kentavious Caldwell-Pope,20191108,LAL,1,LAL,95,MIA,80,17.9,1,6,0.16699999999999998,0,3,0.0,0,0,,1,1,2,3,1,0,0,0,2,-3,.167,.167,.500,.000,6.9,5.8,6.3,21.6,2.8,0.0,0.0,14.6,72,87,-0.8
Dwight Howard,20191108,LAL,1,LAL,95,MIA,80,15.35,1,2,0.5,0,0,,0,0,,0,6,6,1,0,0,1,4,2,-10,.500,.500,.000,.000,0.0,40.8,22.1,8.5,0.0,0.0,33.3,8.5,75,82,-4.9
Quinn Cook,20191108,LAL,1,LAL,95,MIA,80,14.75,1,4,0.25,0,2,0.0,0,0,,0,0,0,2,0,0,2,2,2,-5,.250,.250,.500,.000,0.0,0.0,0.0,17.7,0.0,0.0,33.3,17.7,50,95,-13.3
Troy Daniels,20191108,LAL,1,LAL,95,MIA,80,13.12,1,3,0.33299999999999996,1,3,0.33299999999999996,0,0,,0,2,2,0,0,0,0,0,3,-1,.500,.500,1.000,.000,0.0,15.9,8.6,0.0,0.0,0.0,0.0,9.9,102,90,0.1
