Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Devonte' Graham,20191123,CHO,1,CHI,116,CHO,115,38.75,6,13,0.462,4,9,0.444,2,2,1.0,0,2,2,10,0,0,6,3,18,-10,.648,.615,.692,.154,0.0,5.4,3.0,33.9,0.0,0.0,30.2,22.7,110,128,-5.2
Miles Bridges,20191123,CHO,1,CHI,116,CHO,115,35.17,5,11,0.455,1,3,0.33299999999999996,0,0,,0,8,8,1,0,2,0,1,11,+2,.500,.500,.273,.000,0.0,23.7,13.3,3.7,0.0,5.7,0.0,13.8,110,118,-3.2
Terry Rozier,20191123,CHO,1,CHI,116,CHO,115,34.38,8,12,0.667,3,6,0.5,9,12,0.75,1,0,1,5,1,0,4,3,28,-7,.810,.792,.500,1.000,3.9,0.0,1.7,21.3,1.4,0.0,18.8,27.3,139,126,5.3
Cody Zeller,20191123,CHO,1,CHI,116,CHO,115,24.78,6,10,0.6,0,0,,2,5,0.4,5,4,9,2,0,1,2,1,14,-24,.574,.600,.000,.500,26.9,16.8,21.3,12.0,0.0,4.0,14.1,25.3,118,121,-2.1
P.J. Washington,20191123,CHO,1,CHI,116,CHO,115,22.18,1,7,0.14300000000000002,1,3,0.33299999999999996,0,0,,0,3,3,3,2,1,1,2,3,-5,.214,.214,.429,.000,0.0,14.1,7.9,15.5,4.5,4.5,12.5,15.9,68,111,-5.6
Bismack Biyombo,20191123,CHO,1,CHI,116,CHO,115,23.22,5,9,0.556,0,0,,1,2,0.5,4,8,12,1,1,2,0,4,11,+23,.557,.556,.000,.222,23.0,36.0,30.3,6.1,2.1,8.6,0.0,18.8,135,106,1.6
Marvin Williams,20191123,CHO,1,CHI,116,CHO,115,21.62,9,10,0.9,2,3,0.667,1,1,1.0,0,5,5,1,0,0,2,2,21,+4,1.006,1.000,.300,.100,0.0,24.1,13.5,9.2,0.0,0.0,16.1,25.4,151,120,10.5
Malik Monk,20191123,CHO,1,CHI,116,CHO,115,18.65,3,6,0.5,0,2,0.0,0,0,,0,0,0,0,0,0,1,0,6,+3,.500,.500,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,14.3,16.6,85,130,-12.0
Nicolas Batum,20191123,CHO,1,CHI,116,CHO,115,16.22,1,2,0.5,1,2,0.5,0,0,,0,2,2,3,1,1,2,1,3,+11,.750,.750,1.000,.000,0.0,12.9,7.2,21.6,3.0,6.2,50.0,10.9,98,114,4.0
Cody Martin,20191123,CHO,1,CHI,116,CHO,115,5.03,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-2,,,,,0.0,20.7,11.6,0.0,0.0,0.0,100.0,8.8,0,122,-15.6
