Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
De'Andre Hunter,20191230,ATL,0,ATL,101,ORL,93,35.07,6,14,0.429,3,6,0.5,1,1,1.0,1,5,6,0,1,0,3,1,16,+3,.554,.536,.429,.071,3.4,13.2,8.9,0.0,1.4,0.0,17.2,22.0,94,100,-3.6
Kevin Huerter,20191230,ATL,0,ATL,101,ORL,93,32.45,6,13,0.462,2,7,0.28600000000000003,5,6,0.833,0,6,6,4,2,2,6,3,19,-7,.607,.538,.538,.462,0.0,17.1,9.6,19.6,3.1,4.6,27.7,29.5,96,91,2.1
John Collins,20191230,ATL,0,ATL,101,ORL,93,32.08,5,9,0.556,0,2,0.0,0,0,,2,9,11,3,1,0,4,3,10,+3,.556,.556,.222,.000,7.5,25.9,17.9,14.2,1.6,0.0,30.8,17.9,90,95,-4.1
Cam Reddish,20191230,ATL,0,ATL,101,ORL,93,25.52,0,4,0.0,0,0,,2,2,1.0,2,1,3,3,1,0,3,2,2,0,.205,.000,.000,.500,9.4,3.6,6.1,14.5,2.0,0.0,38.1,13.7,61,101,-9.2
Bruno Fernando,20191230,ATL,0,ATL,101,ORL,93,13.85,1,2,0.5,0,1,0.0,0,0,,1,2,3,0,0,0,0,4,2,+13,.500,.500,.500,.000,8.7,13.3,11.3,0.0,0.0,0.0,0.0,6.4,124,101,-9.6
Alex Len,20191230,ATL,0,ATL,101,ORL,93,24.32,9,14,0.643,0,3,0.0,0,2,0.0,3,9,12,2,0,0,0,2,18,+6,.605,.643,.214,.143,14.8,34.2,25.7,18.6,0.0,0.0,0.0,27.1,132,96,7.4
Brandon Goodwin,20191230,ATL,0,ATL,101,ORL,93,21.9,7,11,0.636,3,4,0.75,4,4,1.0,0,3,3,6,2,1,2,2,21,+22,.823,.773,.364,.364,0.0,12.6,7.1,55.6,4.6,3.4,13.6,29.8,153,90,26.6
Vince Carter,20191230,ATL,0,ATL,101,ORL,93,20.8,1,2,0.5,0,1,0.0,2,2,1.0,1,2,3,2,0,0,1,1,4,+8,.694,.500,.500,1.000,5.8,8.9,7.5,12.6,0.0,0.0,25.8,8.3,129,104,-1.0
DeAndre' Bembry,20191230,ATL,0,ATL,101,ORL,93,18.97,2,5,0.4,0,1,0.0,0,0,,0,3,3,0,1,1,1,0,4,+4,.400,.400,.200,.000,0.0,14.6,8.3,0.0,2.6,4.0,16.7,14.0,69,94,-3.8
Allen Crabbe,20191230,ATL,0,ATL,101,ORL,93,10.47,1,6,0.16699999999999998,1,4,0.25,0,0,,0,1,1,1,0,0,0,1,3,+1,.250,.250,.667,.000,0.0,8.8,5.0,13.3,0.0,0.0,0.0,25.4,69,104,-13.9
Damian Jones,20191230,ATL,0,ATL,101,ORL,93,4.58,1,1,1.0,0,0,,0,0,,1,0,1,0,0,0,0,1,2,-13,1.000,1.000,.000,.000,26.2,0.0,11.4,0.0,0.0,0.0,0.0,9.7,207,105,1.3
