Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Kawhi Leonard,20200110,LAC,1,LAC,109,GSW,100,37.53,14,25,0.56,2,7,0.28600000000000003,6,8,0.75,1,8,9,5,3,1,5,3,36,+15,.631,.600,.280,.320,3.0,17.6,11.5,27.7,3.8,2.2,14.9,38.0,111,91,10.0
Patrick Beverley,20200110,LAC,1,LAC,109,GSW,100,35.02,3,9,0.33299999999999996,3,9,0.33299999999999996,3,4,0.75,1,10,11,9,0,3,3,0,12,+10,.558,.500,1.000,.444,3.3,23.6,15.1,33.4,0.0,7.2,21.8,16.7,113,94,9.0
Landry Shamet,20200110,LAC,1,LAC,109,GSW,100,25.85,1,4,0.25,1,4,0.25,0,0,,0,2,2,1,0,0,0,5,3,-1,.375,.375,1.000,.000,0.0,6.4,3.7,4.7,0.0,0.0,0.0,6.6,90,105,-8.4
Maurice Harkless,20200110,LAC,1,LAC,109,GSW,100,21.02,4,5,0.8,1,2,0.5,0,0,,1,3,4,0,1,0,2,3,9,0,.900,.900,.400,.000,5.4,11.8,9.1,0.0,2.2,0.0,28.6,14.2,111,98,1.1
Ivica Zubac,20200110,LAC,1,LAC,109,GSW,100,15.2,2,4,0.5,0,0,,0,0,,3,5,8,1,0,0,1,3,4,-1,.500,.500,.000,.000,22.6,27.2,25.3,9.1,0.0,0.0,20.0,14.0,110,97,-4.9
Lou Williams,20200110,LAC,1,LAC,109,GSW,100,30.78,6,12,0.5,3,6,0.5,6,6,1.0,0,2,2,8,0,1,2,0,21,+6,.717,.625,.500,.500,0.0,5.4,3.1,39.4,0.0,2.7,12.0,23.0,141,104,10.4
Montrezl Harrell,20200110,LAC,1,LAC,109,GSW,100,30.2,5,9,0.556,0,0,,1,4,0.25,0,10,10,3,0,1,4,1,11,+9,.511,.556,.000,.444,0.0,27.4,15.9,14.4,0.0,2.8,27.1,20.8,78,96,-4.2
JaMychal Green,20200110,LAC,1,LAC,109,GSW,100,24.07,3,8,0.375,0,5,0.0,0,0,,3,4,7,0,0,1,1,5,6,+12,.375,.375,.625,.000,14.2,13.8,14.0,0.0,0.0,3.5,11.1,15.9,85,100,-10.1
Rodney McGruder,20200110,LAC,1,LAC,109,GSW,100,13.52,2,4,0.5,0,2,0.0,0,0,,0,1,1,0,1,0,0,1,4,-2,.500,.500,.500,.000,0.0,6.1,3.6,0.0,3.5,0.0,0.0,12.6,99,98,-1.6
Jerome Robinson,20200110,LAC,1,LAC,109,GSW,100,4.12,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,2,0,-4,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,50.0,20.7,0,107,-34.7
Patrick Patterson,20200110,LAC,1,LAC,109,GSW,100,2.6,1,3,0.33299999999999996,1,3,0.33299999999999996,0,0,,0,0,0,0,0,0,0,1,3,+1,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2,94,107,-5.3
Terance Mann,20200110,LAC,1,LAC,109,GSW,100,0.1,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,108,-6.8
