Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Bruce Brown,20200111,DET,1,CHI,108,DET,99,34.1,2,7,0.28600000000000003,0,1,0.0,3,4,0.75,2,5,7,2,1,0,2,1,7,-7,.400,.286,.143,.571,6.9,18.0,12.3,8.5,1.5,0.0,18.6,13.9,88,116,-6.5
Tony Snell,20200111,DET,1,CHI,108,DET,99,30.7,3,6,0.5,2,5,0.4,0,0,,0,1,1,2,1,1,3,1,8,-1,.667,.667,.833,.000,0.0,4.0,2.0,10.0,1.7,3.3,33.3,12.9,90,117,-1.9
Sekou Doumbouya,20200111,DET,1,CHI,108,DET,99,28.67,4,10,0.4,1,2,0.5,3,4,0.75,0,3,3,1,0,0,2,5,12,+7,.510,.450,.200,.400,0.0,12.9,6.3,5.7,0.0,0.0,14.5,21.2,95,121,-9.2
Svi Mykhailiuk,20200111,DET,1,CHI,108,DET,99,27.78,4,11,0.364,2,8,0.25,0,0,,1,5,6,2,1,0,2,3,10,-10,.455,.455,.727,.000,4.2,22.1,13.0,11.9,1.8,0.0,15.4,20.6,90,115,-5.4
Andre Drummond,20200111,DET,1,CHI,108,DET,99,19.38,3,5,0.6,1,1,1.0,2,6,0.33299999999999996,1,3,4,2,1,0,1,1,9,-14,.589,.700,.200,1.200,6.0,19.0,12.4,17.3,2.6,0.0,11.6,19.7,113,114,4.2
Derrick Rose,20200111,DET,1,CHI,108,DET,99,29.0,7,11,0.636,2,3,0.667,4,4,1.0,0,2,2,7,0,0,4,1,20,-1,.784,.727,.273,.364,0.0,8.5,4.1,47.5,0.0,0.0,23.9,25.5,129,122,5.8
Christian Wood,20200111,DET,1,CHI,108,DET,99,26.22,8,12,0.667,0,0,,1,2,0.5,6,8,14,3,1,3,2,2,17,+2,.660,.667,.000,.167,26.8,37.6,32.0,25.7,2.0,11.4,13.4,25.0,129,103,12.9
Langston Galloway,20200111,DET,1,CHI,108,DET,99,19.57,1,4,0.25,1,4,0.25,0,1,0.0,0,0,0,3,0,0,0,0,3,-8,.338,.375,1.000,.250,0.0,0.0,0.0,21.9,0.0,0.0,0.0,10.0,103,124,-3.7
Markieff Morris,20200111,DET,1,CHI,108,DET,99,13.95,0,7,0.0,0,3,0.0,3,4,0.75,1,2,3,0,1,0,2,4,3,-16,.171,.000,.429,.571,8.4,17.6,12.9,0.0,3.7,0.0,18.6,34.0,39,111,-29.3
Thon Maker,20200111,DET,1,CHI,108,DET,99,10.63,4,5,0.8,0,1,0.0,2,2,1.0,1,1,2,0,1,0,1,2,10,+3,.850,.800,.200,.400,11.0,11.6,11.3,0.0,4.8,0.0,14.5,28.5,141,110,10.1
