Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Zach LaVine,20200222,CHI,1,PHO,112,CHI,104,35.55,8,20,0.4,2,8,0.25,2,2,1.0,0,4,4,5,1,1,7,1,20,-18,.479,.450,.400,.100,0.0,12.3,6.4,26.8,1.3,2.4,25.1,32.1,83,115,-5.7
Ryan Arcidiacono,20200222,CHI,1,PHO,112,CHI,104,33.67,4,11,0.364,2,8,0.25,3,4,0.75,0,5,5,3,1,0,4,4,13,-17,.509,.455,.727,.364,0.0,16.2,8.4,14.1,1.4,0.0,23.9,20.4,89,114,-6.3
Thaddeus Young,20200222,CHI,1,PHO,112,CHI,104,31.0,5,11,0.455,3,5,0.6,0,0,,2,3,5,2,4,2,2,4,13,-20,.591,.591,.455,.000,7.6,10.6,9.1,11.0,6.2,5.5,15.4,17.2,112,103,8.2
Daniel Gafford,20200222,CHI,1,PHO,112,CHI,104,25.37,2,2,1.0,0,0,,3,4,0.75,2,3,5,1,2,2,0,4,7,+1,.931,1.000,.000,2.000,9.2,12.9,11.1,5.9,3.8,6.8,0.0,6.1,202,107,6.3
Tomáš Satoranský,20200222,CHI,1,PHO,112,CHI,104,22.95,0,8,0.0,0,2,0.0,0,0,,2,4,6,1,0,0,3,3,0,-15,.000,.000,.250,.000,10.2,19.0,14.8,5.8,0.0,0.0,27.3,19.6,19,116,-24.9
Coby White,20200222,CHI,1,PHO,112,CHI,104,33.85,11,22,0.5,7,13,0.5379999999999999,4,4,1.0,0,3,3,2,1,0,5,5,33,+7,.694,.659,.591,.182,0.0,9.7,5.0,13.9,1.4,0.0,17.4,34.8,116,117,5.2
Cristiano Felício,20200222,CHI,1,PHO,112,CHI,104,22.63,3,3,1.0,0,0,,2,3,0.667,4,2,6,2,0,0,4,1,8,-9,.926,1.000,.000,1.000,20.7,9.6,15.0,14.3,0.0,0.0,48.1,15.1,110,120,-0.9
Shaquille Harrison,20200222,CHI,1,PHO,112,CHI,104,17.98,2,4,0.5,0,2,0.0,4,4,1.0,0,3,3,1,1,2,0,4,8,+19,.694,.500,.500,1.000,0.0,18.2,9.4,8.7,2.7,9.5,0.0,13.1,158,106,6.9
Adam Mokoka,20200222,CHI,1,PHO,112,CHI,104,17.0,1,2,0.5,0,0,,0,0,,1,0,1,1,1,0,0,3,2,+12,.500,.500,.000,.000,6.9,0.0,3.3,8.5,2.8,0.0,0.0,4.8,138,118,-1.9
Chandler Hutchison,20200222,CHI,1,PHO,112,CHI,104,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denzel Valentine,20200222,CHI,1,PHO,112,CHI,104,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luke Kornet,20200222,CHI,1,PHO,112,CHI,104,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
