Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
DeMar DeRozan,20200306,SAS,0,BRK,139,SAS,120,30.55,10,13,0.769,0,0,,4,5,0.8,0,5,5,9,0,0,1,3,24,-22,.789,.769,.000,.385,0.0,17.5,8.7,51.8,0.0,0.0,6.2,23.2,156,133,8.2
Derrick White,20200306,SAS,0,BRK,139,SAS,120,27.3,6,12,0.5,2,6,0.33299999999999996,5,5,1.0,0,2,2,2,1,3,2,2,19,-1,.669,.583,.500,.417,0.0,7.8,3.9,10.8,1.7,8.8,12.3,25.9,115,124,4.1
Dejounte Murray,20200306,SAS,0,BRK,139,SAS,120,25.5,3,16,0.188,0,5,0.0,0,0,,1,5,6,3,0,0,1,1,6,-31,.188,.188,.313,.000,4.2,20.9,12.5,15.1,0.0,0.0,5.9,29.1,49,133,-21.5
Trey Lyles,20200306,SAS,0,BRK,139,SAS,120,23.37,6,12,0.5,5,7,0.7140000000000001,2,2,1.0,0,2,2,2,0,1,0,3,19,-20,.738,.708,.583,.167,0.0,9.1,4.6,13.4,0.0,3.4,0.0,24.1,138,132,8.1
Bryn Forbes,20200306,SAS,0,BRK,139,SAS,120,17.93,3,6,0.5,1,2,0.5,2,2,1.0,0,1,1,1,0,0,0,1,9,-25,.654,.583,.333,.333,0.0,5.9,3.0,7.7,0.0,0.0,0.0,16.8,129,136,-3.6
Rudy Gay,20200306,SAS,0,BRK,139,SAS,120,23.17,6,9,0.667,1,4,0.25,2,2,1.0,1,5,6,2,0,0,0,1,15,-14,.759,.722,.444,.222,4.6,23.0,13.8,13.6,0.0,0.0,0.0,18.6,152,133,4.4
Keldon Johnson,20200306,SAS,0,BRK,139,SAS,120,21.0,4,6,0.667,1,2,0.5,4,6,0.667,0,5,5,0,1,0,1,3,13,+11,.752,.750,.333,1.000,0.0,25.4,12.7,0.0,2.2,0.0,10.4,20.1,128,127,-1.5
Patty Mills,20200306,SAS,0,BRK,139,SAS,120,16.18,1,4,0.25,0,3,0.0,5,5,1.0,0,3,3,0,0,1,1,1,7,-3,.565,.250,.750,1.250,0.0,19.8,9.9,0.0,0.0,4.9,13.9,19.4,100,129,-8.0
Lonnie Walker IV,20200306,SAS,0,BRK,139,SAS,120,16.15,1,5,0.2,0,2,0.0,0,0,,0,1,1,2,1,0,0,1,2,-8,.200,.200,.400,.000,0.0,6.6,3.3,14.9,2.8,0.0,0.0,13.5,58,129,-9.9
Drew Eubanks,20200306,SAS,0,BRK,139,SAS,120,15.38,3,3,1.0,0,0,,0,0,,0,4,4,0,0,0,0,4,6,+4,1.000,1.000,.000,.000,0.0,27.7,13.9,0.0,0.0,0.0,0.0,8.5,200,131,-4.9
Luka Šamanić,20200306,SAS,0,BRK,139,SAS,120,12.0,0,4,0.0,0,2,0.0,0,0,,0,2,2,3,0,0,0,0,0,+6,.000,.000,.500,.000,0.0,17.8,8.9,27.9,0.0,0.0,0.0,14.6,39,134,-11.1
Quinndary Weatherspoon,20200306,SAS,0,BRK,139,SAS,120,11.47,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,0,0,+8,.000,.000,.500,.000,0.0,9.3,4.7,9.7,0.0,0.0,0.0,7.6,27,135,-13.5
