Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Kyrie Irving,20201222,BRK,1,BRK,125,GSW,99,25.3,10,16,0.625,4,7,0.5710000000000001,2,2,1.0,1,3,4,4,0,0,1,3,26,+32,.770,.750,.438,.125,4.0,10.0,7.3,33.0,0.0,0.0,5.6,26.9,152,98,13.6
Kevin Durant,20201222,BRK,1,BRK,125,GSW,99,24.93,7,16,0.43799999999999994,1,2,0.5,7,7,1.0,1,4,5,3,3,1,1,3,22,+26,.577,.469,.125,.438,4.1,13.5,9.3,20.2,5.2,2.9,5.0,30.7,127,83,11.1
Joe Harris,20201222,BRK,1,BRK,125,GSW,99,20.77,4,8,0.5,2,5,0.4,0,0,,2,5,7,2,0,1,2,2,10,+21,.625,.625,.625,.000,9.8,20.3,15.6,14.1,0.0,3.5,20.0,18.3,113,91,2.7
Spencer Dinwiddie,20201222,BRK,1,BRK,125,GSW,99,19.95,2,6,0.33299999999999996,1,3,0.33299999999999996,4,4,1.0,0,5,5,4,0,0,3,1,9,+24,.580,.417,.500,.667,0.0,21.1,11.6,25.9,0.0,0.0,27.9,20.5,103,94,-1.4
DeAndre Jordan,20201222,BRK,1,BRK,125,GSW,99,17.05,2,3,0.667,0,0,,0,2,0.0,2,9,11,1,1,1,3,2,4,+21,.515,.667,.000,.667,12.0,44.5,29.8,7.7,2.5,4.3,43.6,15.4,72,76,-2.6
Caris LeVert,20201222,BRK,1,BRK,125,GSW,99,24.82,6,17,0.353,3,5,0.6,5,6,0.833,1,8,9,5,2,1,2,1,20,+18,.509,.441,.294,.353,4.1,27.1,16.7,31.8,3.5,2.9,9.2,33.2,112,82,8.7
Landry Shamet,20201222,BRK,1,BRK,125,GSW,99,19.72,1,4,0.25,1,4,0.25,3,4,0.75,0,1,1,0,1,0,2,3,6,+12,.521,.375,1.000,1.000,0.0,4.3,2.3,0.0,2.2,0.0,25.8,15.0,82,95,-7.8
Jarrett Allen,20201222,BRK,1,BRK,125,GSW,99,19.62,2,3,0.667,0,0,,4,5,0.8,3,4,7,2,1,2,2,0,8,+12,.769,.667,.000,1.667,15.6,17.2,16.5,13.2,2.2,7.4,27.8,14.0,133,86,8.1
Jeff Green,20201222,BRK,1,BRK,125,GSW,99,17.28,3,4,0.75,1,2,0.5,0,0,,0,0,0,1,1,0,1,3,7,+6,.875,.875,.500,.000,0.0,0.0,0.0,8.2,2.5,0.0,20.0,11.0,133,95,2.0
Taurean Prince,20201222,BRK,1,BRK,125,GSW,99,16.1,0,1,0.0,0,1,0.0,1,2,0.5,0,1,1,0,1,1,0,1,1,+3,.266,.000,1.000,2.000,0.0,5.2,2.9,0.0,2.7,4.5,0.0,4.4,64,91,-1.7
Reggie Perry,20201222,BRK,1,BRK,125,GSW,99,7.77,1,3,0.33299999999999996,0,1,0.0,0,0,,1,1,2,1,0,0,0,0,2,-8,.333,.333,.333,.000,13.1,10.8,11.9,17.3,0.0,0.0,0.0,14.7,106,98,-1.9
Bruce Brown,20201222,BRK,1,BRK,125,GSW,99,7.52,1,3,0.33299999999999996,0,1,0.0,0,0,,0,1,1,1,0,0,2,1,2,-7,.333,.333,.333,.000,0.0,11.2,6.1,17.9,0.0,0.0,40.0,25.3,51,97,-17.6
Timothé Luwawu-Cabarrot,20201222,BRK,1,BRK,125,GSW,99,6.6,2,6,0.33299999999999996,1,3,0.33299999999999996,0,0,,1,1,2,0,0,0,1,2,5,-9,1.500,1.500,1.000,.000,0.0,12.8,7.0,0.0,0.0,0.0,0.0,5.8,300,97,9.9
Rodions Kurucs,20201222,BRK,1,BRK,125,GSW,99,6.6,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,-9,.417,.417,.500,.000,15.5,12.8,14.0,0.0,0.0,0.0,14.3,40.4,80,96,-16.7
Tyler Johnson,20201222,BRK,1,BRK,125,GSW,99,5.98,0,1,0.0,0,0,,0,0,,1,0,1,0,1,0,0,0,0,-12,.000,.000,.000,.000,17.1,0.0,7.7,0.0,7.3,0.0,0.0,6.4,67,86,1.2
