Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Duncan Robinson,20210118,MIA,1,MIA,113,DET,107,36.3,6,9,0.667,6,9,0.667,0,0,,0,3,3,3,0,0,3,2,18,+8,1.000,1.000,1.000,.000,0.0,9.7,5.8,11.3,0.0,0.0,25.0,15.7,139,119,4.2
Bam Adebayo,20210118,MIA,1,MIA,113,DET,107,35.47,9,15,0.6,0,1,0.0,10,11,0.909,2,9,11,5,2,1,7,5,28,+5,.706,.600,.067,.733,10.0,29.7,21.9,22.0,2.8,3.0,26.1,35.8,116,106,1.1
Goran Dragić,20210118,MIA,1,MIA,113,DET,107,33.12,9,15,0.6,1,5,0.2,3,4,0.75,0,3,3,3,0,1,3,3,22,-7,.656,.633,.333,.267,0.0,10.6,6.4,14.5,0.0,3.2,15.2,28.3,115,117,-3.8
Kelly Olynyk,20210118,MIA,1,MIA,113,DET,107,24.98,4,8,0.5,1,5,0.2,0,0,,0,3,3,3,0,2,2,3,9,-4,.563,.563,.625,.000,0.0,14.1,8.5,16.3,0.0,8.5,20.0,19.0,101,113,-2.4
KZ Okpala,20210118,MIA,1,MIA,113,DET,107,3.62,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-12,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-14.9
Kendrick Nunn,20210118,MIA,1,MIA,113,DET,107,34.03,8,15,0.5329999999999999,2,4,0.5,0,0,,1,4,5,3,2,1,2,3,18,+17,.600,.600,.267,.000,5.2,13.8,10.4,13.3,3.0,3.1,11.8,23.7,114,110,0.3
Maurice Harkless,20210118,MIA,1,MIA,113,DET,107,29.83,1,2,0.5,1,2,0.5,0,0,,0,2,2,3,2,1,0,3,3,+11,.750,.750,1.000,.000,0.0,7.8,4.7,11.7,3.4,3.6,0.0,3.2,177,110,4.8
Andre Iguodala,20210118,MIA,1,MIA,113,DET,107,20.7,1,3,0.33299999999999996,0,2,0.0,2,2,1.0,0,3,3,2,2,0,1,1,4,+4,.515,.333,.667,.667,0.0,17.0,10.2,11.4,4.9,0.0,20.5,11.2,105,106,0.3
Precious Achiuwa,20210118,MIA,1,MIA,113,DET,107,12.77,4,5,0.8,0,0,,0,2,0.0,2,3,5,0,0,0,0,5,8,-1,.680,.800,.000,.400,27.9,27.5,27.6,0.0,0.0,0.0,0.0,21.8,141,114,-6.4
Gabe Vincent,20210118,MIA,1,MIA,113,DET,107,9.12,1,3,0.33299999999999996,1,2,0.5,0,0,,0,1,1,1,0,0,0,0,3,+9,.500,.500,.667,.000,0.0,12.8,7.7,14.0,0.0,0.0,0.0,15.6,117,119,-2.6
Tyler Herro,20210118,MIA,1,MIA,113,DET,107,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meyers Leonard,20210118,MIA,1,MIA,113,DET,107,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
