Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,20210122,OKC,0,LAC,120,OKC,106,38.62,11,20,0.55,2,5,0.4,6,6,1.0,0,3,3,8,2,0,3,2,30,-10,.663,.600,.250,.300,0.0,11.0,4.8,36.4,2.6,0.0,11.7,30.7,125,124,8.0
Darius Bazley,20210122,OKC,0,LAC,120,OKC,106,33.37,3,8,0.375,2,6,0.33299999999999996,0,2,0.0,0,4,4,1,0,0,0,0,8,-12,.450,.500,.750,.250,0.0,16.9,7.5,3.9,0.0,0.0,0.0,12.3,89,128,-5.7
Luguentz Dort,20210122,OKC,0,LAC,120,OKC,106,31.92,7,13,0.5379999999999999,3,7,0.429,2,3,0.667,0,3,3,1,0,0,2,4,19,-3,.663,.654,.538,.231,0.0,13.3,5.9,4.9,0.0,0.0,12.3,23.7,109,129,-3.4
George Hill,20210122,OKC,0,LAC,120,OKC,106,29.97,5,9,0.556,2,5,0.4,0,0,,1,4,5,1,0,0,2,0,12,-4,.667,.667,.556,.000,3.7,18.8,10.4,4.9,0.0,0.0,18.2,17.0,105,128,-4.4
Isaiah Roby,20210122,OKC,0,LAC,120,OKC,106,27.62,4,6,0.667,0,2,0.0,0,0,,1,3,4,2,1,0,0,3,8,+3,.667,.667,.333,.000,4.0,15.3,9.0,10.2,1.8,0.0,0.0,10.1,143,124,-0.7
Hamidou Diallo,20210122,OKC,0,LAC,120,OKC,106,19.4,4,8,0.5,0,1,0.0,2,2,1.0,0,2,2,4,1,0,1,2,10,-12,.563,.500,.125,.250,0.0,14.6,6.4,31.8,2.6,0.0,10.1,23.6,114,123,2.2
Théo Maledon,20210122,OKC,0,LAC,120,OKC,106,19.32,2,7,0.28600000000000003,1,2,0.5,0,0,,0,5,5,2,1,0,1,4,5,-8,.357,.357,.286,.000,0.0,36.5,16.1,13.8,2.6,0.0,12.5,19.2,72,118,-9.9
Mike Muscala,20210122,OKC,0,LAC,120,OKC,106,15.7,4,11,0.364,3,9,0.33299999999999996,0,0,,0,0,0,1,2,0,1,2,11,-11,.500,.500,.818,.000,0.0,0.0,0.0,10.6,6.3,0.0,8.3,35.4,87,117,1.2
Aleksej Pokusevski,20210122,OKC,0,LAC,120,OKC,106,14.72,1,4,0.25,1,4,0.25,0,0,,0,0,0,3,0,1,1,2,3,-9,.375,.375,1.000,.000,0.0,0.0,0.0,25.9,0.0,6.4,20.0,15.7,84,128,-3.2
Kenrich Williams,20210122,OKC,0,LAC,120,OKC,106,9.38,0,1,0.0,0,1,0.0,0,0,,2,1,3,1,1,0,0,2,0,-4,.000,.000,1.000,.000,23.8,15.0,19.9,12.5,5.3,0.0,0.0,4.9,125,116,-2.3
