Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Ja Morant,20210206,MEM,0,NOP,118,MEM,109,31.07,5,14,0.35700000000000004,1,5,0.2,5,6,0.833,0,3,3,9,0,0,1,0,16,-25,.481,.393,.357,.429,0.0,11.0,5.3,43.1,0.0,0.0,5.7,25.4,117,131,-0.2
Kyle Anderson,20210206,MEM,0,NOP,118,MEM,109,30.17,8,13,0.615,3,7,0.429,2,2,1.0,0,4,4,4,1,2,0,0,21,-6,.756,.731,.538,.154,0.0,15.2,7.3,23.3,1.7,5.9,0.0,20.6,157,122,15.8
Xavier Tillman Sr.,20210206,MEM,0,NOP,118,MEM,109,28.45,2,5,0.4,1,3,0.33299999999999996,0,0,,3,5,8,1,0,1,1,6,5,-4,.500,.500,.600,.000,11.2,20.1,15.5,4.6,0.0,3.1,16.7,9.4,110,125,-8.1
Dillon Brooks,20210206,MEM,0,NOP,118,MEM,109,28.42,4,17,0.235,0,6,0.0,1,2,0.5,2,2,4,2,1,0,1,2,9,-10,.252,.235,.353,.118,7.5,8.0,7.8,10.2,1.8,0.0,5.3,29.7,66,127,-17.8
Gorgui Dieng,20210206,MEM,0,NOP,118,MEM,109,21.05,2,2,1.0,1,1,1.0,3,4,0.75,3,2,5,2,1,0,1,4,8,-13,1.064,1.250,.500,2.000,15.2,10.9,13.1,12.9,2.4,0.0,21.0,10.1,175,124,3.8
Jonas Valančiūnas,20210206,MEM,0,NOP,118,MEM,109,24.33,9,11,0.818,2,2,1.0,3,3,1.0,1,6,7,2,0,1,3,1,23,0,.933,.909,.182,.273,4.4,28.2,15.9,17.7,0.0,3.7,19.6,28.1,139,125,14.4
Grayson Allen,20210206,MEM,0,NOP,118,MEM,109,21.72,3,9,0.33299999999999996,2,5,0.4,0,0,,1,1,2,1,1,0,0,2,8,+8,.444,.444,.556,.000,4.9,5.3,5.1,6.6,2.4,0.0,0.0,18.5,102,126,-4.7
Tyus Jones,20210206,MEM,0,NOP,118,MEM,109,20.87,3,7,0.429,0,3,0.0,2,2,1.0,0,7,7,1,0,0,1,0,8,+8,.508,.429,.429,.286,0.0,38.3,18.5,6.9,0.0,0.0,11.3,19.0,98,126,-8.4
Desmond Bane,20210206,MEM,0,NOP,118,MEM,109,19.67,2,8,0.25,1,5,0.2,0,0,,0,2,2,2,1,1,0,2,5,+1,.313,.313,.625,.000,0.0,11.6,5.6,13.9,2.6,4.5,0.0,18.2,80,121,-5.7
De'Anthony Melton,20210206,MEM,0,NOP,118,MEM,109,14.27,2,4,0.5,2,2,1.0,0,0,,1,2,3,3,0,0,1,0,6,-4,.750,.750,.500,.000,7.5,16.0,11.6,30.3,0.0,0.0,20.0,15.7,136,130,6.5
