Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Darius Garland,20210223,CLE,1,CLE,112,ATL,111,42.53,7,19,0.368,1,5,0.2,2,4,0.5,1,1,2,8,2,0,5,0,17,+1,.409,.395,.263,.211,3.2,2.7,2.9,27.3,2.4,0.0,19.4,28.7,87,125,-12.4
Isaac Okoro,20210223,CLE,1,CLE,112,ATL,111,37.05,3,6,0.5,1,2,0.5,1,1,1.0,1,4,5,3,0,3,1,3,8,-6,.621,.583,.333,.167,3.7,12.3,8.4,10.5,0.0,6.7,13.4,9.5,127,122,-1.7
Collin Sexton,20210223,CLE,1,CLE,112,ATL,111,33.83,9,16,0.563,3,5,0.6,8,10,0.8,0,1,1,5,1,0,6,5,29,-9,.711,.656,.313,.625,0.0,3.4,1.8,25.1,1.5,0.0,22.7,37.0,113,126,-3.7
Jarrett Allen,20210223,CLE,1,CLE,112,ATL,111,33.57,5,11,0.455,1,1,1.0,2,2,1.0,2,12,14,2,1,4,0,2,13,-5,.547,.500,.091,.182,8.2,40.9,26.0,8.4,1.5,9.9,0.0,16.8,127,106,2.1
Dean Wade,20210223,CLE,1,CLE,112,ATL,111,20.8,2,3,0.667,1,2,0.5,0,0,,1,1,2,2,0,2,0,1,5,-14,.833,.833,.667,.000,6.6,5.5,6.0,12.7,0.0,8.0,0.0,6.8,182,124,4.2
Dylan Windler,20210223,CLE,1,CLE,112,ATL,111,21.88,5,6,0.833,5,5,1.0,0,0,,0,5,5,1,1,1,1,2,15,+10,1.250,1.250,.833,.000,0.0,26.1,14.2,7.3,2.4,3.8,14.3,15.1,174,113,16.6
Cedi Osman,20210223,CLE,1,CLE,112,ATL,111,19.95,3,7,0.429,3,7,0.429,2,2,1.0,1,1,2,3,0,0,2,2,11,+10,.698,.643,1.000,.286,6.9,5.7,6.2,21.4,0.0,0.0,20.2,23.5,123,129,-1.7
Lamar Stevens,20210223,CLE,1,CLE,112,ATL,111,15.95,4,5,0.8,0,1,0.0,0,0,,1,3,4,2,2,0,0,2,8,+12,.800,.800,.200,.000,8.6,21.5,15.6,20.8,6.5,0.0,0.0,14.8,172,108,10.5
JaVale McGee,20210223,CLE,1,CLE,112,ATL,111,14.43,3,5,0.6,0,0,,0,0,,0,1,1,2,0,0,0,2,6,+6,.600,.600,.000,.000,0.0,7.9,4.3,21.4,0.0,0.0,0.0,16.4,134,128,-3.2
Larry Nance Jr.,20210223,CLE,1,CLE,112,ATL,111,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taurean Prince,20210223,CLE,1,CLE,112,ATL,111,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
