Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
John Wall,20210228,HOU,1,MEM,133,HOU,84,26.78,4,16,0.25,0,5,0.0,6,8,0.75,0,0,0,0,0,0,5,0,14,-33,.359,.250,.313,.500,0.0,0.0,0.0,0.0,0.0,0.0,20.4,35.4,61,129,-15.8
Justin Patton,20210228,HOU,1,MEM,133,HOU,84,26.08,4,6,0.667,2,4,0.5,0,0,,1,4,5,0,0,2,2,6,10,-20,.833,.833,.667,.000,3.2,19.9,9.8,0.0,0.0,5.8,25.0,11.9,115,121,-1.7
Danuel House Jr.,20210228,HOU,1,MEM,133,HOU,84,23.5,2,11,0.182,0,6,0.0,1,1,1.0,3,2,5,0,0,0,2,1,5,-26,.219,.182,.545,.091,10.8,11.0,10.9,0.0,0.0,0.0,14.9,22.1,50,127,-15.3
Eric Gordon,20210228,HOU,1,MEM,133,HOU,84,22.67,1,10,0.1,0,5,0.0,3,3,1.0,0,2,2,2,0,0,2,4,5,-20,.221,.100,.500,.300,0.0,11.4,4.5,20.3,0.0,0.0,15.0,22.7,47,127,-17.7
P.J. Tucker,20210228,HOU,1,MEM,133,HOU,84,22.03,0,1,0.0,0,1,0.0,1,2,0.5,3,2,5,1,1,2,2,1,1,-28,.266,.000,1.000,2.000,11.5,11.8,11.6,9.5,2.0,6.8,51.5,6.8,60,118,-2.6
Sterling Brown,20210228,HOU,1,MEM,133,HOU,84,27.82,1,8,0.125,1,8,0.125,2,2,1.0,1,5,6,3,2,0,4,5,5,-30,.282,.188,1.000,.250,3.0,23.3,11.0,24.3,3.2,0.0,31.1,17.9,51,117,-9.9
Jae'Sean Tate,20210228,HOU,1,MEM,133,HOU,84,24.03,4,6,0.667,0,1,0.0,6,7,0.857,0,4,4,0,1,1,2,2,14,-25,.771,.667,.167,1.167,0.0,21.6,8.5,0.0,1.8,3.1,18.1,17.8,127,119,2.9
David Nwaba,20210228,HOU,1,MEM,133,HOU,84,22.55,4,8,0.5,0,2,0.0,3,5,0.6,3,1,4,0,1,0,0,1,11,-22,.539,.500,.250,.625,11.2,5.8,9.1,0.0,2.0,0.0,0.0,17.5,119,124,1.5
Ben McLemore,20210228,HOU,1,MEM,133,HOU,84,20.38,2,10,0.2,0,7,0.0,3,3,1.0,0,1,1,0,1,0,1,4,7,-23,.309,.200,.700,.300,0.0,6.4,2.5,0.0,2.2,0.0,8.1,23.4,63,123,-13.0
Mason Jones,20210228,HOU,1,MEM,133,HOU,84,15.6,1,5,0.2,1,5,0.2,9,10,0.9,1,4,5,2,0,0,2,0,12,-13,.638,.300,1.000,2.000,5.4,33.3,16.4,30.9,0.0,0.0,17.5,28.3,119,123,7.0
Rodions Kurucs,20210228,HOU,1,MEM,133,HOU,84,8.55,0,2,0.0,0,1,0.0,0,0,,0,1,1,2,1,1,1,0,0,-5,.000,.000,.500,.000,0.0,15.2,6.0,48.8,5.1,8.8,33.3,13.6,22,109,0.9
