Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Julius Randle,20210414,NYK,0,NYK,116,NOP,106,42.25,11,26,0.423,5,8,0.625,5,5,1.0,2,6,8,5,0,0,4,5,32,+6,.567,.519,.308,.192,4.5,14.8,9.4,18.0,0.0,0.0,12.4,33.6,111,114,0.7
Taj Gibson,20210414,NYK,0,NYK,116,NOP,106,35.18,4,5,0.8,0,0,,0,1,0.0,4,6,10,2,0,2,0,4,8,-11,.735,.800,.000,.200,10.7,17.8,14.1,7.1,0.0,4.5,0.0,6.8,173,110,1.3
Reggie Bullock,20210414,NYK,0,NYK,116,NOP,106,35.12,6,10,0.6,4,7,0.5710000000000001,0,0,,0,4,4,2,0,0,1,2,16,-11,.800,.800,.700,.000,0.0,11.9,5.6,7.6,0.0,0.0,9.1,13.8,146,115,2.2
RJ Barrett,20210414,NYK,0,NYK,116,NOP,106,28.12,2,10,0.2,1,3,0.33299999999999996,1,1,1.0,1,3,4,1,2,1,1,2,6,-13,.287,.250,.300,.100,3.3,11.1,7.0,4.2,3.5,2.8,8.7,18.0,68,105,-7.7
Elfrid Payton,20210414,NYK,0,NYK,116,NOP,106,19.93,5,11,0.455,0,1,0.0,1,2,0.5,2,5,7,4,0,0,0,1,11,-4,.463,.455,.091,.182,9.4,26.2,17.4,30.1,0.0,0.0,0.0,26.3,120,112,1.1
Derrick Rose,20210414,NYK,0,NYK,116,NOP,106,28.07,5,14,0.35700000000000004,1,4,0.25,0,0,,1,3,4,4,2,1,0,0,11,+14,.393,.393,.286,.000,3.4,11.2,7.1,19.3,3.6,2.9,0.0,22.0,101,105,1.5
Alec Burks,20210414,NYK,0,NYK,116,NOP,106,22.07,7,12,0.583,4,7,0.5710000000000001,3,3,1.0,0,7,7,1,1,0,0,2,21,+24,.788,.750,.583,.250,0.0,33.1,15.7,7.6,2.3,0.0,0.0,26.7,161,105,16.9
Norvel Pelle,20210414,NYK,0,NYK,116,NOP,106,12.72,2,3,0.667,0,0,,0,0,,1,2,3,0,1,1,0,0,4,+19,.667,.667,.000,.000,7.4,16.4,11.7,0.0,3.9,6.3,0.0,10.4,146,101,5.0
Immanuel Quickley,20210414,NYK,0,NYK,116,NOP,106,10.8,2,5,0.4,2,2,1.0,1,1,1.0,0,0,0,0,0,0,0,1,7,+22,.643,.600,.400,.200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,132,118,0.7
Obi Toppin,20210414,NYK,0,NYK,116,NOP,106,5.75,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,+4,.000,.000,1.000,.000,0.0,18.1,8.6,0.0,0.0,0.0,0.0,7.7,0,114,-13.6
