Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Gary Harris,20210425,ORL,1,IND,131,ORL,112,32.12,2,14,0.14300000000000002,0,5,0.0,2,2,1.0,1,2,3,3,1,0,0,2,6,-15,.202,.143,.357,.143,2.6,7.3,4.5,12.1,1.4,0.0,0.0,18.6,62,129,-16.8
Dwayne Bacon,20210425,ORL,1,IND,131,ORL,112,31.97,6,15,0.4,1,3,0.33299999999999996,7,8,0.875,2,3,5,1,2,0,0,2,20,-4,.540,.433,.200,.533,5.2,11.0,7.6,4.8,2.9,0.0,0.0,23.3,123,125,-1.6
Chuma Okeke,20210425,ORL,1,IND,131,ORL,112,29.5,5,12,0.41700000000000004,2,5,0.4,0,0,,1,2,3,3,3,0,1,0,12,-10,.500,.500,.417,.000,2.8,7.9,4.9,15.3,4.7,0.0,7.7,17.7,105,121,-0.6
Cole Anthony,20210425,ORL,1,IND,131,ORL,112,29.1,5,14,0.35700000000000004,1,3,0.33299999999999996,3,4,0.75,1,6,7,7,0,1,1,2,14,-7,.444,.393,.214,.286,2.8,24.1,11.7,36.4,0.0,2.8,6.0,23.2,107,127,-2.3
Wendell Carter Jr.,20210425,ORL,1,IND,131,ORL,112,20.73,4,10,0.4,1,1,1.0,1,2,0.5,4,9,13,1,0,1,1,2,10,-6,.460,.450,.100,.200,16.0,50.8,30.4,7.5,0.0,3.9,8.4,23.1,104,124,-5.2
R.J. Hampton,20210425,ORL,1,IND,131,ORL,112,28.97,5,10,0.5,2,4,0.5,2,2,1.0,0,2,2,2,0,0,1,2,14,-18,.643,.600,.400,.200,0.0,8.1,3.3,10.4,0.0,0.0,8.4,16.5,124,132,-5.5
Mo Bamba,20210425,ORL,1,IND,131,ORL,112,24.88,6,9,0.667,2,4,0.5,3,4,0.75,2,5,7,2,2,1,0,2,17,-12,.790,.778,.444,.444,6.7,23.5,13.6,13.6,3.7,3.3,0.0,17.4,167,119,10.7
Chasson Randle,20210425,ORL,1,IND,131,ORL,112,21.28,1,7,0.14300000000000002,0,4,0.0,2,4,0.5,0,4,4,2,0,0,2,0,4,-13,.228,.143,.571,.571,0.0,22.0,9.1,12.0,0.0,0.0,18.6,20.3,50,130,-20.0
Robert Franks,20210425,ORL,1,IND,131,ORL,112,18.17,4,8,0.5,1,3,0.33299999999999996,2,2,1.0,3,2,5,1,1,0,0,1,11,-6,.619,.563,.375,.250,13.7,12.9,13.3,9.0,2.6,0.0,0.0,19.7,142,126,3.2
Donta Hall,20210425,ORL,1,IND,131,ORL,112,2.38,2,2,1.0,0,0,,0,0,,1,1,2,0,0,0,0,0,4,-1,1.000,1.000,.000,.000,34.7,49.1,40.7,0.0,0.0,0.0,0.0,33.8,203,128,34.2
Devin Cannady,20210425,ORL,1,IND,131,ORL,112,0.9,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,132,-32.9
Terrence Ross,20210425,ORL,1,IND,131,ORL,112,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
