Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Jayson Tatum,20210512,BOS,0,CLE,102,BOS,94,35.05,11,26,0.423,1,6,0.16699999999999998,6,8,0.75,1,7,8,1,2,2,2,3,29,-5,.491,.442,.231,.308,2.2,24.0,10.8,6.5,2.8,4.9,6.3,37.8,98,99,5.8
Evan Fournier,20210512,BOS,0,CLE,102,BOS,94,34.32,6,20,0.3,3,9,0.33299999999999996,0,0,,1,3,4,1,2,1,1,2,15,-10,.375,.375,.450,.000,2.3,10.5,5.5,5.1,2.8,2.5,4.8,25.7,79,104,-3.8
Tristan Thompson,20210512,BOS,0,CLE,102,BOS,94,28.35,5,7,0.7140000000000001,0,0,,0,0,,4,3,7,1,1,1,2,4,10,-5,.714,.714,.000,.000,11.1,12.7,11.7,6.1,1.7,3.0,22.2,13.3,122,105,-2.5
Tremont Waters,20210512,BOS,0,CLE,102,BOS,94,22.88,3,9,0.33299999999999996,1,4,0.25,0,0,,2,1,3,3,0,1,2,2,7,0,.389,.389,.444,.000,6.9,5.2,6.2,21.2,0.0,3.7,18.2,20.2,83,110,-7.2
Aaron Nesmith,20210512,BOS,0,CLE,102,BOS,94,22.17,3,10,0.3,0,4,0.0,2,2,1.0,1,6,7,2,1,0,0,4,8,-7,.368,.300,.400,.200,3.5,32.5,15.0,14.7,2.2,0.0,0.0,20.6,91,103,-4.9
Grant Williams,20210512,BOS,0,CLE,102,BOS,94,31.68,2,7,0.28600000000000003,2,4,0.5,1,2,0.5,2,1,3,1,1,0,0,4,7,+3,.444,.429,.571,.286,5.0,3.8,4.5,4.6,1.5,0.0,0.0,10.5,108,110,-5.7
Payton Pritchard,20210512,BOS,0,CLE,102,BOS,94,25.63,5,13,0.385,4,9,0.444,1,2,0.5,1,6,7,3,1,0,0,2,15,-7,.540,.538,.692,.154,3.1,28.1,13.0,21.1,1.9,0.0,0.0,22.8,121,104,7.4
Luke Kornet,20210512,BOS,0,CLE,102,BOS,94,18.33,1,5,0.2,1,2,0.5,0,0,,1,5,6,2,1,3,0,2,3,-3,.300,.300,.400,.000,4.3,32.7,15.6,15.7,2.7,14.0,0.0,11.5,89,90,3.3
Romeo Langford,20210512,BOS,0,CLE,102,BOS,94,8.93,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-5,.000,.000,1.000,.000,0.0,13.4,5.3,0.0,0.0,0.0,0.0,4.7,0,111,-12.7
Semi Ojeleye,20210512,BOS,0,CLE,102,BOS,94,8.05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,114,-10.4
Carsen Edwards,20210512,BOS,0,CLE,102,BOS,94,4.6,0,3,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,0,0,0,+2,.000,.000,.667,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,0,114,-31.2
