Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Michael Porter Jr.,20211026,DEN,0,UTA,122,DEN,110,38.63,5,18,0.278,3,11,0.273,0,0,,1,8,9,2,2,0,1,3,13,+2,.361,.361,.611,.000,3.3,26.2,14.7,6.9,2.5,0.0,5.3,22.2,78,120,-6.7
Will Barton,20211026,DEN,0,UTA,122,DEN,110,36.88,9,16,0.563,1,3,0.33299999999999996,2,4,0.5,0,4,4,3,1,1,4,2,21,+3,.591,.594,.188,.250,0.0,13.7,6.8,12.9,1.3,2.8,18.4,26.6,98,123,-2.8
Monte Morris,20211026,DEN,0,UTA,122,DEN,110,35.1,8,13,0.615,3,3,1.0,0,0,,0,0,0,4,1,0,1,2,19,-3,.731,.731,.231,.000,0.0,0.0,0.0,17.6,1.4,0.0,7.1,18.0,138,127,3.4
Aaron Gordon,20211026,DEN,0,UTA,122,DEN,110,34.13,9,13,0.6920000000000001,0,3,0.0,2,4,0.5,1,6,7,1,1,1,4,5,20,-1,.678,.692,.231,.308,3.7,22.2,13.0,4.8,1.4,3.1,21.3,24.8,105,121,-3.3
Nikola Jokić,20211026,DEN,0,UTA,122,DEN,110,15.0,8,9,0.889,3,3,1.0,5,7,0.7140000000000001,1,5,6,6,0,0,1,1,24,+7,.993,1.056,.333,.778,8.4,42.1,25.3,100.0,0.0,0.0,7.6,39.3,191,122,48.9
Jeff Green,20211026,DEN,0,UTA,122,DEN,110,20.72,2,5,0.4,0,2,0.0,4,5,0.8,0,2,2,1,0,1,0,3,8,-11,.556,.400,.400,1.000,0.0,12.2,6.1,6.2,0.0,5.0,0.0,15.7,122,124,-3.6
Facundo Campazzo,20211026,DEN,0,UTA,122,DEN,110,18.73,0,1,0.0,0,0,,3,4,0.75,0,2,2,1,1,0,0,2,3,-17,.543,.000,.000,4.000,0.0,13.5,6.7,6.1,2.6,0.0,0.0,6.6,131,121,-4.3
JaMychal Green,20211026,DEN,0,UTA,122,DEN,110,18.55,0,2,0.0,0,2,0.0,0,0,,1,2,3,1,3,0,1,2,0,-12,.000,.000,1.000,.000,6.8,13.6,10.2,6.2,7.8,0.0,33.3,7.3,45,110,-3.9
PJ Dozier,20211026,DEN,0,UTA,122,DEN,110,16.55,1,4,0.25,0,0,,0,0,,1,1,2,0,0,0,1,3,2,-18,.250,.250,.000,.000,7.6,7.6,7.6,0.0,0.0,0.0,20.0,13.6,55,128,-16.3
Austin Rivers,20211026,DEN,0,UTA,122,DEN,110,5.7,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-10,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0,130,-22.0
