Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
CJ McCollum,20211101,POR,0,PHI,113,POR,103,39.58,8,20,0.4,3,8,0.375,1,4,0.25,2,2,4,3,1,0,2,0,20,-16,.460,.475,.400,.200,6.1,6.2,6.1,12.0,1.3,0.0,8.4,27.2,101,126,-4.3
Damian Lillard,20211101,POR,0,PHI,113,POR,103,35.92,7,20,0.35,2,9,0.222,4,5,0.8,1,6,7,10,0,0,3,2,20,-14,.450,.400,.450,.250,3.3,20.6,11.8,43.6,0.0,0.0,11.9,31.8,109,127,-2.3
Norman Powell,20211101,POR,0,PHI,113,POR,103,29.35,8,12,0.667,1,3,0.33299999999999996,5,5,1.0,0,1,1,0,0,0,2,3,22,-12,.775,.708,.250,.417,0.0,4.2,2.1,0.0,0.0,0.0,12.3,25.0,137,129,-0.3
Jusuf Nurkić,20211101,POR,0,PHI,113,POR,103,28.05,3,5,0.6,0,0,,1,4,0.25,3,6,9,3,1,2,0,0,7,-4,.518,.600,.000,.800,12.8,26.3,19.5,14.7,1.9,7.3,0.0,10.9,136,116,4.6
Robert Covington,20211101,POR,0,PHI,113,POR,103,19.03,0,0,,0,0,,0,0,,0,3,3,1,0,0,1,0,0,-6,,,,,0.0,19.4,9.6,6.3,0.0,0.0,100.0,2.4,46,127,-6.7
Anfernee Simons,20211101,POR,0,PHI,113,POR,103,29.33,7,12,0.583,3,7,0.429,0,0,,0,3,3,3,2,0,2,3,17,+3,.708,.708,.583,.000,0.0,12.6,6.2,17.2,3.6,0.0,14.3,21.6,128,120,4.7
Nassir Little,20211101,POR,0,PHI,113,POR,103,20.38,2,5,0.4,0,2,0.0,0,0,,4,4,8,1,0,0,2,3,4,+1,.400,.400,.400,.000,23.5,24.2,23.8,6.7,0.0,0.0,28.6,15.6,91,126,-11.3
Larry Nance Jr.,20211101,POR,0,PHI,113,POR,103,17.63,3,7,0.429,1,3,0.33299999999999996,0,0,,2,4,6,0,1,0,2,1,7,-1,.500,.500,.429,.000,13.6,27.9,20.7,0.0,3.0,0.0,22.2,23.1,89,119,-6.3
Cody Zeller,20211101,POR,0,PHI,113,POR,103,10.92,0,1,0.0,0,0,,0,0,,1,2,3,0,0,0,0,2,0,0,.000,.000,.000,.000,11.0,22.5,16.7,0.0,0.0,0.0,0.0,4.2,66,126,-14.2
Tony Snell,20211101,POR,0,PHI,113,POR,103,9.8,2,2,1.0,2,2,1.0,0,0,,0,1,1,0,0,0,0,1,6,-1,1.500,1.500,1.000,.000,0.0,12.6,6.2,0.0,0.0,0.0,0.0,9.2,300,128,14.1
