Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Domantas Sabonis,20211105,IND,0,POR,110,IND,106,35.57,7,12,0.583,0,4,0.0,1,4,0.25,1,11,12,4,0,0,6,4,15,-5,.545,.583,.333,.333,3.1,38.1,19.7,16.1,0.0,0.0,30.4,25.8,81,118,-10.7
Caris LeVert,20211105,IND,0,POR,110,IND,106,33.87,6,21,0.28600000000000003,0,8,0.0,0,0,,1,3,4,6,1,0,0,3,12,-5,.286,.286,.381,.000,3.3,10.9,6.9,24.7,1.5,0.0,0.0,28.8,79,119,-13.0
T.J. McConnell,20211105,IND,0,POR,110,IND,106,32.97,8,13,0.615,3,4,0.75,0,0,,1,6,7,2,2,1,2,2,19,-5,.731,.731,.308,.000,3.4,22.4,12.4,9.3,3.1,3.4,13.3,21.1,121,110,4.9
Myles Turner,20211105,IND,0,POR,110,IND,106,30.72,5,10,0.5,3,7,0.429,3,4,0.75,0,6,6,2,0,1,1,2,16,-8,.680,.650,.700,.400,0.0,24.0,11.4,8.9,0.0,3.6,7.8,19.3,125,117,1.8
Chris Duarte,20211105,IND,0,POR,110,IND,106,26.18,4,7,0.5710000000000001,1,3,0.33299999999999996,0,0,,1,2,3,4,1,0,1,1,9,-1,.643,.643,.429,.000,4.3,9.4,6.7,20.6,1.9,0.0,12.5,14.2,128,118,0.9
Justin Holiday,20211105,IND,0,POR,110,IND,106,30.2,4,9,0.444,4,7,0.5710000000000001,0,0,,2,2,4,3,1,0,0,2,12,-2,.667,.667,.778,.000,7.4,8.2,7.8,13.0,1.7,0.0,0.0,13.8,143,119,3.5
Brad Wanamaker,20211105,IND,0,POR,110,IND,106,17.1,2,5,0.4,1,3,0.33299999999999996,0,0,,0,1,1,6,0,0,1,2,5,-4,.500,.500,.600,.000,0.0,7.2,3.4,45.0,0.0,0.0,16.7,16.3,118,123,-1.1
Torrey Craig,20211105,IND,0,POR,110,IND,106,16.97,3,4,0.75,0,1,0.0,0,0,,1,1,2,0,2,0,0,1,6,+4,.750,.750,.250,.000,6.6,7.3,6.9,0.0,6.0,0.0,0.0,10.9,151,108,2.8
Kelan Martin,20211105,IND,0,POR,110,IND,106,12.78,3,5,0.6,2,4,0.5,0,0,,0,0,0,1,1,0,0,0,8,+5,.800,.800,.800,.000,0.0,0.0,0.0,11.8,4.0,0.0,0.0,18.2,151,115,11.7
Goga Bitadze,20211105,IND,0,POR,110,IND,106,3.65,1,2,0.5,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,1,4,+1,.694,.500,.500,1.000,0.0,33.7,16.0,0.0,0.0,0.0,0.0,36.6,145,119,2.0
