Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Karl-Anthony Towns,20220116,MIN,1,MIN,119,GSW,99,29.93,11,20,0.55,1,6,0.16699999999999998,3,5,0.6,4,7,11,1,0,2,1,3,26,+7,.586,.575,.300,.250,13.9,23.4,18.8,5.9,0.0,8.0,4.3,32.4,116,96,4.4
Anthony Edwards,20220116,MIN,1,MIN,119,GSW,99,27.9,3,8,0.375,2,4,0.5,1,1,1.0,0,1,1,2,1,1,2,0,9,+2,.533,.500,.500,.125,0.0,3.6,1.8,8.6,1.7,4.3,19.2,15.6,89,99,-1.7
Patrick Beverley,20220116,MIN,1,MIN,119,GSW,99,25.48,3,7,0.429,2,5,0.4,2,4,0.5,0,4,4,4,1,1,0,2,10,-1,.571,.571,.714,.571,0.0,15.7,8.0,19.1,1.8,4.7,0.0,14.4,128,95,5.6
Jarred Vanderbilt,20220116,MIN,1,MIN,119,GSW,99,24.13,5,5,1.0,0,0,,0,0,,1,5,6,1,0,1,1,2,10,-5,1.000,1.000,.000,.000,4.3,20.7,12.7,5.7,0.0,5.0,16.7,10.4,161,98,4.8
D'Angelo Russell,20220116,MIN,1,MIN,119,GSW,99,22.42,2,9,0.222,0,5,0.0,3,3,1.0,0,3,3,12,2,0,5,1,7,-4,.339,.222,.556,.333,0.0,13.4,6.8,63.1,4.1,0.0,32.6,28.6,85,93,-2.5
Jaylen Nowell,20220116,MIN,1,MIN,119,GSW,99,24.72,6,9,0.667,3,5,0.6,2,4,0.5,0,2,2,4,0,1,1,4,17,+21,.790,.833,.556,.444,0.0,8.1,4.1,23.3,0.0,4.9,8.5,19.9,143,101,8.6
Malik Beasley,20220116,MIN,1,MIN,119,GSW,99,24.12,5,10,0.5,5,9,0.556,1,1,1.0,0,2,2,3,0,0,0,2,16,+27,.766,.750,.900,.100,0.0,8.3,4.2,17.0,0.0,0.0,0.0,18.1,149,104,9.8
Jaden McDaniels,20220116,MIN,1,MIN,119,GSW,99,21.23,4,12,0.33299999999999996,1,5,0.2,0,0,,0,2,2,1,2,2,3,3,9,+27,.375,.375,.417,.000,0.0,9.4,4.8,6.3,4.3,11.3,20.0,29.5,60,87,-8.2
Naz Reid,20220116,MIN,1,MIN,119,GSW,99,14.82,4,5,0.8,1,1,1.0,0,0,,1,8,9,1,0,1,2,3,9,+15,.900,.900,.200,.000,7.0,54.0,31.0,10.1,0.0,8.1,28.6,19.8,118,88,6.6
Taurean Prince,20220116,MIN,1,MIN,119,GSW,99,11.78,1,2,0.5,1,2,0.5,0,0,,0,4,4,1,0,0,0,0,3,+19,.750,.750,1.000,.000,0.0,33.9,17.3,10.0,0.0,0.0,0.0,7.1,151,99,4.2
McKinley Wright IV,20220116,MIN,1,MIN,119,GSW,99,3.25,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,2,-2,.000,.000,.000,.000,0.0,92.3,47.1,0.0,14.2,0.0,0.0,25.7,0,51,-8.5
Nathan Knight,20220116,MIN,1,MIN,119,GSW,99,3.25,0,2,0.0,0,0,,0,0,,0,3,3,0,1,0,0,0,0,-2,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7,91,105,-12.4
Josh Okogie,20220116,MIN,1,MIN,119,GSW,99,2.63,0,0,,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,-2,,,,,0.0,0.0,0.0,0.0,17.5,0.0,,0.0,0,65,15.8
Jake Layman,20220116,MIN,1,MIN,119,GSW,99,2.63,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-2,.568,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,124,106,-4.0
Leandro Bolmaro,20220116,MIN,1,MIN,119,GSW,99,1.7,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,106,-4.6
