Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Klay Thompson,20220402,GSW,1,GSW,111,UTA,107,39.3,14,28,0.5,8,17,0.47100000000000003,0,0,,0,5,5,2,0,0,1,3,36,+2,.643,.643,.607,.000,0.0,13.0,6.9,10.7,0.0,0.0,3.4,35.3,114,118,4.3
Jordan Poole,20220402,GSW,1,GSW,111,UTA,107,37.58,9,22,0.409,6,15,0.4,7,7,1.0,1,5,6,6,0,1,5,4,31,+16,.618,.545,.682,.318,3.1,13.6,8.7,26.9,0.0,3.0,16.6,38.3,109,116,1.7
Draymond Green,20220402,GSW,1,GSW,111,UTA,107,33.12,3,5,0.6,0,0,,4,5,0.8,0,9,9,7,0,1,3,4,10,+20,.694,.600,.000,1.000,0.0,27.8,14.8,28.5,0.0,3.4,29.4,14.7,124,111,0.3
Andrew Wiggins,20220402,GSW,1,GSW,111,UTA,107,32.97,7,10,0.7,3,4,0.75,0,0,,1,1,2,3,2,1,2,4,17,+26,.850,.850,.400,.000,3.6,3.1,3.3,14.7,3.1,3.4,16.7,17.4,135,113,7.3
Kevon Looney,20220402,GSW,1,GSW,111,UTA,107,12.7,1,1,1.0,0,0,,0,0,,1,1,2,2,0,0,0,1,2,-12,1.000,1.000,.000,.000,9.2,8.0,8.6,20.9,0.0,0.0,0.0,3.8,230,120,4.3
Otto Porter Jr.,20220402,GSW,1,GSW,111,UTA,107,29.95,1,4,0.25,0,2,0.0,0,0,,2,6,8,0,1,1,0,1,2,+3,.250,.250,.500,.000,7.8,20.5,14.6,0.0,1.7,3.7,0.0,6.4,86,110,-4.9
Gary Payton II,20220402,GSW,1,GSW,111,UTA,107,21.8,4,8,0.5,2,5,0.4,0,0,,0,3,3,5,1,1,0,1,10,+5,.625,.625,.625,.000,0.0,14.1,7.5,35.3,2.3,5.1,0.0,17.6,142,110,12.0
Andre Iguodala,20220402,GSW,1,GSW,111,UTA,107,14.85,0,3,0.0,0,3,0.0,0,0,,0,3,3,4,0,1,0,1,0,-19,.000,.000,1.000,.000,0.0,20.6,11.0,32.3,0.0,7.5,0.0,9.7,79,111,-2.9
Nemanja Bjelica,20220402,GSW,1,GSW,111,UTA,107,13.5,1,3,0.33299999999999996,1,2,0.5,0,0,,1,2,3,1,0,0,0,2,3,-15,.500,.500,.667,.000,8.7,15.1,12.1,9.8,0.0,0.0,0.0,10.6,127,117,-4.0
Jonathan Kuminga,20220402,GSW,1,GSW,111,UTA,107,4.23,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,1,0,-6,,,,,0.0,0.0,0.0,0.0,12.0,0.0,,0.0,0,95,1.2
