Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Gary Trent Jr.,20220410,TOR,0,NYK,105,TOR,94,30.92,8,17,0.47100000000000003,1,4,0.25,0,0,,0,1,1,2,0,0,3,3,17,-7,.500,.500,.235,.000,0.0,3.5,1.7,13.2,0.0,0.0,15.0,28.3,82,118,-9.9
OG Anunoby,20220410,TOR,0,NYK,105,TOR,94,25.45,3,9,0.33299999999999996,0,5,0.0,2,2,1.0,2,7,9,3,1,0,3,0,8,-11,.405,.333,.556,.222,8.0,30.0,18.7,18.6,2.0,0.0,23.3,22.1,79,106,-6.0
Scottie Barnes,20220410,TOR,0,NYK,105,TOR,94,21.52,3,5,0.6,1,2,0.5,0,0,,0,2,2,5,1,0,2,3,7,-7,.700,.700,.400,.000,0.0,10.1,4.9,38.1,2.3,0.0,28.6,14.2,111,111,1.6
Khem Birch,20220410,TOR,0,NYK,105,TOR,94,19.1,2,3,0.667,0,0,,0,0,,2,3,5,2,1,0,0,0,4,-4,.667,.667,.000,.000,10.7,17.1,13.8,16.2,2.6,0.0,0.0,6.9,160,108,3.7
Armoni Brooks,20220410,TOR,0,NYK,105,TOR,94,17.95,1,4,0.25,1,4,0.25,0,0,,0,2,2,0,0,0,1,3,3,-12,.375,.375,1.000,.000,0.0,12.2,5.9,0.0,0.0,0.0,20.0,12.2,57,115,-15.0
Chris Boucher,20220410,TOR,0,NYK,105,TOR,94,31.73,6,14,0.429,3,7,0.429,6,7,0.857,2,5,7,3,0,0,0,1,21,0,.615,.536,.500,.500,6.4,17.2,11.6,16.9,0.0,0.0,0.0,23.5,133,114,7.2
Malachi Flynn,20220410,TOR,0,NYK,105,TOR,94,28.03,4,14,0.28600000000000003,2,6,0.33299999999999996,0,0,,1,3,4,4,2,0,1,1,10,+1,.357,.357,.429,.000,3.6,11.7,7.5,23.5,3.5,0.0,6.7,23.4,81,107,-3.1
Precious Achiuwa,20220410,TOR,0,NYK,105,TOR,94,26.13,4,13,0.308,1,5,0.2,0,0,,2,4,6,2,1,1,1,2,9,-7,.346,.346,.385,.000,7.8,16.7,12.1,12.8,1.9,4.2,7.1,23.4,77,107,-6.1
Thaddeus Young,20220410,TOR,0,NYK,105,TOR,94,20.08,2,3,0.667,1,1,1.0,0,0,,0,3,3,4,2,1,1,2,5,+16,.833,.833,.333,.000,0.0,16.3,7.9,30.6,4.9,5.4,25.0,8.7,135,99,8.8
Yuta Watanabe,20220410,TOR,0,NYK,105,TOR,94,11.32,1,4,0.25,0,3,0.0,2,2,1.0,0,4,4,2,1,0,0,0,4,-16,.410,.250,.750,.500,0.0,38.6,18.6,26.7,4.4,0.0,0.0,18.8,105,98,5.4
Svi Mykhailiuk,20220410,TOR,0,NYK,105,TOR,94,7.77,2,6,0.33299999999999996,2,5,0.4,0,0,,0,0,0,0,1,0,1,2,6,-8,.500,.500,.833,.000,0.0,0.0,0.0,0.0,6.4,0.0,14.3,39.4,76,104,-2.5
