Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Giannis Antetokounmpo,20221020,MIL,0,MIL,90,PHI,88,36.08,9,16,0.563,1,3,0.33299999999999996,2,5,0.4,0,13,13,8,1,3,1,4,21,+13,.577,.594,.188,.313,0.0,36.8,18.8,48.3,1.4,6.8,5.2,25.0,120,86,17.0
Jrue Holiday,20221020,MIL,0,MIL,90,PHI,88,35.78,2,15,0.133,0,6,0.0,2,2,1.0,1,3,4,8,2,0,1,1,6,-6,.189,.133,.400,.133,3.0,8.6,5.8,34.3,2.9,0.0,5.9,22.2,67,94,-5.9
Grayson Allen,20221020,MIL,0,MIL,90,PHI,88,32.07,3,10,0.3,2,6,0.33299999999999996,4,5,0.8,0,3,3,4,0,0,3,1,12,-1,.492,.400,.600,.500,0.0,9.6,4.9,20.3,0.0,0.0,19.7,22.3,89,101,-3.3
Brook Lopez,20221020,MIL,0,MIL,90,PHI,88,30.93,6,16,0.375,4,12,0.33299999999999996,1,2,0.5,1,3,4,1,0,2,0,2,17,0,.504,.500,.750,.125,3.4,9.9,6.7,6.3,0.0,5.3,0.0,25.6,100,95,4.6
Jevon Carter,20221020,MIL,0,MIL,90,PHI,88,22.0,2,3,0.667,1,2,0.5,0,0,,1,3,4,1,1,0,3,2,5,+3,.833,.833,.667,.000,4.8,13.9,9.5,7.4,2.4,0.0,50.0,12.8,79,95,-3.2
Bobby Portis,20221020,MIL,0,MIL,90,PHI,88,22.7,5,10,0.5,1,4,0.25,0,0,,1,9,10,0,0,0,1,1,11,-2,.550,.550,.400,.000,4.7,40.5,23.0,0.0,0.0,0.0,9.1,22.8,94,95,0.6
George Hill,20221020,MIL,0,MIL,90,PHI,88,20.53,2,2,1.0,0,0,,0,0,,0,1,1,0,0,0,2,2,4,+3,1.000,1.000,.000,.000,0.0,5.0,2.5,0.0,0.0,0.0,50.0,9.2,72,101,-9.1
Wesley Matthews,20221020,MIL,0,MIL,90,PHI,88,20.38,3,6,0.5,2,4,0.5,0,0,,3,2,5,2,0,1,0,1,8,+2,.667,.667,.667,.000,15.7,10.0,12.8,17.5,0.0,4.0,0.0,13.8,148,96,12.2
Jordan Nwora,20221020,MIL,0,MIL,90,PHI,88,15.87,2,5,0.4,2,4,0.5,0,0,,0,3,3,0,0,0,0,1,6,-1,.600,.600,.800,.000,0.0,19.3,9.9,0.0,0.0,0.0,0.0,14.8,108,99,1.5
Serge Ibaka,20221020,MIL,0,MIL,90,PHI,88,3.65,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,1,1,0,-1,.000,.000,1.000,.000,0.0,28.0,14.3,0.0,0.0,0.0,50.0,25.7,0,97,-32.8
