Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Kevin Huerter,20221203,SAC,0,SAC,123,LAC,96,30.07,4,8,0.5,1,3,0.33299999999999996,3,3,1.0,1,1,2,4,1,0,0,2,12,+22,.644,.563,.375,.375,3.9,2.9,3.3,16.1,1.6,0.0,0.0,13.4,147,102,2.2
Keegan Murray,20221203,SAC,0,SAC,123,LAC,96,28.03,8,15,0.5329999999999999,3,8,0.375,4,5,0.8,1,6,7,1,2,0,1,2,23,+25,.669,.633,.533,.333,4.2,18.7,12.5,5.3,3.4,0.0,5.5,28.0,126,90,6.8
De'Aaron Fox,20221203,SAC,0,SAC,123,LAC,96,27.83,5,12,0.41700000000000004,1,4,0.25,3,5,0.6,0,6,6,4,0,1,2,0,14,+17,.493,.458,.333,.417,0.0,18.8,10.8,18.5,0.0,2.9,12.3,25.1,97,96,-3.5
Domantas Sabonis,20221203,SAC,0,SAC,123,LAC,96,26.18,10,11,0.909,2,2,1.0,2,3,0.667,2,3,5,6,0,2,2,5,24,+32,.974,1.000,.182,.273,8.9,10.0,9.5,39.8,0.0,6.1,14.0,23.6,166,99,19.7
Harrison Barnes,20221203,SAC,0,SAC,123,LAC,96,25.9,4,6,0.667,1,3,0.33299999999999996,1,5,0.2,0,5,5,2,1,0,1,1,10,+26,.610,.750,.500,.833,0.0,16.8,9.7,9.6,1.8,0.0,10.9,15.3,106,94,-0.3
KZ Okpala,20221203,SAC,0,SAC,123,LAC,96,18.23,2,6,0.33299999999999996,0,1,0.0,2,2,1.0,1,2,3,1,1,1,1,1,6,+10,.436,.333,.167,.333,6.4,9.6,8.2,6.5,2.6,4.4,12.7,18.7,93,94,-3.6
Davion Mitchell,20221203,SAC,0,SAC,123,LAC,96,16.53,2,6,0.33299999999999996,0,3,0.0,0,0,,0,3,3,4,0,0,0,3,4,+8,.333,.333,.500,.000,0.0,15.8,9.1,28.9,0.0,0.0,0.0,15.7,99,99,-7.5
Malik Monk,20221203,SAC,0,SAC,123,LAC,96,16.23,5,11,0.455,3,5,0.6,0,0,,0,0,0,2,0,0,0,2,13,-2,.591,.591,.455,.000,0.0,0.0,0.0,18.9,0.0,0.0,0.0,29.2,119,107,2.2
Chimezie Metu,20221203,SAC,0,SAC,123,LAC,96,15.27,3,3,1.0,0,0,,4,5,0.8,2,6,8,2,0,2,1,3,10,-3,.962,1.000,.000,1.667,15.3,34.3,26.2,17.2,0.0,10.5,16.1,17.5,172,83,13.7
Terence Davis,20221203,SAC,0,SAC,123,LAC,96,11.07,1,5,0.2,0,2,0.0,0,0,,1,2,3,3,2,0,1,0,2,+7,.200,.200,.400,.000,10.6,15.8,13.6,31.2,8.6,0.0,16.7,23.4,73,80,0.2
Trey Lyles,20221203,SAC,0,SAC,123,LAC,96,7.65,0,1,0.0,0,1,0.0,0,0,,0,3,3,1,0,0,0,2,0,-2,.000,.000,1.000,.000,0.0,34.2,19.6,13.6,0.0,0.0,0.0,5.6,58,88,-8.4
Matthew Dellavedova,20221203,SAC,0,SAC,123,LAC,96,6.93,1,3,0.33299999999999996,0,0,,1,2,0.5,0,1,1,1,0,0,0,0,3,-2,.387,.333,.000,.667,0.0,12.6,7.2,17.7,0.0,0.0,0.0,24.2,94,101,-9.3
Richaun Holmes,20221203,SAC,0,SAC,123,LAC,96,6.55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,107,-9.7
Alex Len,20221203,SAC,0,SAC,123,LAC,96,3.52,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-1,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,95,108,-8.2
