Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Deandre Ayton,20221209,PHO,0,NOP,128,PHO,117,39.65,11,15,0.733,0,0,,3,5,0.6,4,10,14,2,1,1,3,3,25,-11,.727,.733,.000,.333,12.4,28.8,20.9,8.2,1.2,1.9,14.9,22.7,130,124,1.8
Devin Booker,20221209,PHO,0,NOP,128,PHO,117,36.0,5,17,0.294,2,8,0.25,2,4,0.5,0,2,2,7,1,0,3,4,14,-18,.373,.353,.471,.235,0.0,6.3,3.3,25.7,1.3,0.0,13.8,26.9,87,131,-11.2
Mikal Bridges,20221209,PHO,0,NOP,128,PHO,117,35.27,4,12,0.33299999999999996,3,5,0.6,0,0,,2,3,5,3,2,0,1,5,11,-7,.458,.458,.417,.000,7.0,9.7,8.4,10.9,2.7,0.0,7.7,16.4,105,127,-4.2
Chris Paul,20221209,PHO,0,NOP,128,PHO,117,34.08,7,14,0.5,6,9,0.667,4,4,1.0,0,8,8,7,0,0,3,3,24,+3,.761,.714,.643,.286,0.0,26.8,13.9,29.7,0.0,0.0,16.0,24.5,137,129,4.8
Torrey Craig,20221209,PHO,0,NOP,128,PHO,117,30.2,5,9,0.556,4,7,0.5710000000000001,0,0,,1,4,5,3,0,0,3,0,14,-13,.778,.778,.778,.000,4.1,15.1,9.8,13.6,0.0,0.0,25.0,17.7,116,132,2.5
Damion Lee,20221209,PHO,0,NOP,128,PHO,117,18.65,4,6,0.667,4,6,0.667,0,0,,0,0,0,0,0,1,0,2,12,+3,1.000,1.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,4.1,0.0,14.3,173,133,9.6
Cameron Payne,20221209,PHO,0,NOP,128,PHO,117,16.13,2,6,0.33299999999999996,1,5,0.2,0,0,,0,1,1,5,1,0,0,1,5,-17,.417,.417,.833,.000,0.0,7.1,3.7,40.2,3.0,0.0,0.0,16.6,127,128,0.9
Josh Okogie,20221209,PHO,0,NOP,128,PHO,117,12.73,1,2,0.5,1,2,0.5,0,0,,1,1,2,1,0,0,1,4,3,+5,.750,.750,1.000,.000,9.7,9.0,9.3,9.6,0.0,0.0,33.3,10.5,118,133,-7.0
Jock Landale,20221209,PHO,0,NOP,128,PHO,117,11.9,4,5,0.8,1,2,0.5,0,0,,0,0,0,0,0,1,1,3,9,-2,.900,.900,.400,.000,0.0,0.0,0.0,0.0,0.0,6.4,16.7,22.5,123,131,1.2
Landry Shamet,20221209,PHO,0,NOP,128,PHO,117,4.62,0,0,,0,0,,0,0,,0,0,0,2,1,0,1,0,0,0,,,,,0.0,0.0,0.0,48.4,10.5,0.0,100.0,9.7,93,114,9.6
Dario Šarić,20221209,PHO,0,NOP,128,PHO,117,0.77,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,136,-7.5
