Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Kristaps Porziņģis,20230109,WAS,1,NOP,132,WAS,112,33.97,8,16,0.5,3,5,0.6,4,4,1.0,3,7,10,1,0,0,1,0,23,-2,.648,.594,.313,.250,10.9,23.6,17.4,4.6,0.0,0.0,5.3,24.1,129,131,2.3
Corey Kispert,20230109,WAS,1,NOP,132,WAS,112,33.88,5,12,0.41700000000000004,5,10,0.5,2,2,1.0,0,5,5,1,1,0,3,2,17,-12,.660,.625,.833,.167,0.0,16.9,8.7,4.1,1.4,0.0,18.9,20.5,102,129,-1.7
Monte Morris,20230109,WAS,1,NOP,132,WAS,112,26.52,6,8,0.75,1,2,0.5,0,0,,0,1,1,9,0,0,3,0,13,-12,.813,.813,.250,.000,0.0,4.3,2.2,52.3,0.0,0.0,27.3,18.1,136,136,4.6
Daniel Gafford,20230109,WAS,1,NOP,132,WAS,112,23.3,5,6,0.833,0,0,,3,4,0.75,1,3,4,2,0,0,0,4,13,-5,.838,.833,.000,.667,5.3,14.7,10.2,13.0,0.0,0.0,0.0,14.5,177,133,3.7
Kyle Kuzma,20230109,WAS,1,NOP,132,WAS,112,23.1,6,13,0.462,3,8,0.375,4,4,1.0,2,6,8,2,0,0,5,6,19,-15,.644,.577,.615,.308,10.7,29.7,20.5,14.1,0.0,0.0,25.3,37.4,101,129,-6.0
Rui Hachimura,20230109,WAS,1,NOP,132,WAS,112,27.48,4,12,0.33299999999999996,1,3,0.33299999999999996,0,0,,0,3,3,1,0,1,1,2,9,-22,.375,.375,.250,.000,0.0,12.5,6.5,5.0,0.0,2.6,7.7,20.7,74,131,-10.9
Deni Avdija,20230109,WAS,1,NOP,132,WAS,112,21.72,2,6,0.33299999999999996,0,2,0.0,0,2,0.0,1,3,4,3,0,0,0,2,4,-9,.291,.333,.333,.333,5.7,15.8,10.9,17.6,0.0,0.0,0.0,13.8,90,133,-7.2
Jordan Goodwin,20230109,WAS,1,NOP,132,WAS,112,17.42,1,1,1.0,1,1,1.0,1,2,0.5,0,1,1,4,2,0,3,3,4,-9,1.064,1.500,1.000,2.000,0.0,6.6,3.4,28.1,5.4,0.0,61.5,12.2,98,123,2.4
Delon Wright,20230109,WAS,1,NOP,132,WAS,112,16.9,2,4,0.5,0,2,0.0,0,0,,0,0,0,3,2,0,2,2,4,-8,.500,.500,.500,.000,0.0,0.0,0.0,23.5,5.6,0.0,33.3,15.5,87,124,-3.6
Taj Gibson,20230109,WAS,1,NOP,132,WAS,112,11.13,2,2,1.0,0,0,,0,0,,0,1,1,0,0,0,2,4,4,-6,1.000,1.000,.000,.000,0.0,10.3,5.3,0.0,0.0,0.0,50.0,15.7,74,133,-13.8
Anthony Gill,20230109,WAS,1,NOP,132,WAS,112,4.58,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,0,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,97,137,-8.0
