Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Lauri Markkanen,20230110,UTA,1,UTA,116,CLE,114,39.32,6,18,0.33299999999999996,1,5,0.2,12,14,0.857,3,13,16,1,1,0,1,2,25,+7,.517,.361,.278,.778,8.1,34.5,21.5,4.0,1.2,0.0,4.0,26.0,121,113,2.2
Jordan Clarkson,20230110,UTA,1,UTA,116,CLE,114,34.33,11,19,0.579,5,11,0.455,5,7,0.7140000000000001,2,4,6,4,0,0,4,1,32,+5,.725,.711,.579,.368,6.2,12.2,9.2,24.7,0.0,0.0,15.3,30.8,130,120,11.7
Malik Beasley,20230110,UTA,1,UTA,116,CLE,114,33.62,4,12,0.33299999999999996,1,8,0.125,4,4,1.0,0,5,5,4,1,0,3,0,13,+3,.472,.375,.667,.333,0.0,15.5,7.8,17.7,1.5,0.0,17.9,20.2,96,116,-1.6
Mike Conley,20230110,UTA,1,UTA,116,CLE,114,32.85,4,9,0.444,1,5,0.2,4,4,1.0,0,0,0,4,0,0,3,3,13,+8,.604,.500,.556,.444,0.0,0.0,0.0,18.2,0.0,0.0,21.8,17.0,110,122,-5.1
Walker Kessler,20230110,UTA,1,UTA,116,CLE,114,30.38,3,9,0.33299999999999996,0,0,,0,0,,6,5,11,2,0,1,1,4,6,+6,.333,.333,.000,.000,21.1,17.2,19.1,9.5,0.0,3.0,10.0,13.4,103,116,-4.9
Nickeil Alexander-Walker,20230110,UTA,1,UTA,116,CLE,114,22.47,5,10,0.5,1,4,0.25,2,4,0.5,0,4,4,3,0,1,1,1,13,-10,.553,.550,.400,.400,0.0,18.6,9.4,23.5,0.0,4.0,7.8,23.0,116,115,4.2
Ochai Agbaji,20230110,UTA,1,UTA,116,CLE,114,17.95,1,4,0.25,0,2,0.0,0,0,,1,3,4,2,0,0,0,3,2,-2,.250,.250,.500,.000,5.9,17.4,11.8,15.1,0.0,0.0,0.0,9.0,96,119,-5.0
Jarred Vanderbilt,20230110,UTA,1,UTA,116,CLE,114,17.1,2,3,0.667,0,0,,1,2,0.5,3,2,5,1,0,0,0,1,5,-2,.644,.667,.000,.667,18.7,12.2,15.4,8.7,0.0,0.0,0.0,9.2,159,120,2.9
Rudy Gay,20230110,UTA,1,UTA,116,CLE,114,6.85,2,3,0.667,1,1,1.0,2,2,1.0,0,2,2,0,1,1,1,1,7,0,.902,.833,.333,.667,0.0,30.5,15.4,0.0,7.1,13.2,20.5,28.9,135,89,25.4
Simone Fontecchio,20230110,UTA,1,UTA,116,CLE,114,5.13,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-5,,,,,0.0,20.3,10.3,0.0,0.0,0.0,100.0,7.9,0,118,-15.2
