Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
Luka Dončić,20230118,DAL,1,ATL,130,DAL,122,39.47,9,19,0.474,2,8,0.25,10,12,0.833,0,4,4,8,0,0,7,3,30,-5,.618,.526,.421,.632,0.0,17.4,7.4,29.4,0.0,0.0,22.4,34.4,111,138,-3.9
Spencer Dinwiddie,20230118,DAL,1,ATL,130,DAL,122,39.42,8,18,0.444,4,10,0.4,0,2,0.0,1,3,4,7,2,0,3,1,20,-5,.530,.556,.556,.111,3.2,13.0,7.4,24.9,2.5,0.0,13.7,24.1,110,132,-0.8
Christian Wood,20230118,DAL,1,ATL,130,DAL,122,35.12,9,17,0.529,3,7,0.429,1,1,1.0,1,8,9,4,1,2,1,5,22,+1,.631,.618,.412,.059,3.6,39.1,18.6,17.2,1.4,4.6,5.4,22.8,132,128,5.1
Dorian Finney-Smith,20230118,DAL,1,ATL,130,DAL,122,34.73,3,9,0.33299999999999996,1,6,0.16699999999999998,2,2,1.0,6,3,9,3,0,0,1,1,9,-1,.455,.389,.667,.222,21.8,14.8,18.8,10.4,0.0,0.0,9.2,13.6,127,138,-3.3
Dwight Powell,20230118,DAL,1,ATL,130,DAL,122,21.8,2,2,1.0,0,0,,2,2,1.0,1,1,2,1,0,0,0,2,6,-2,1.042,1.000,.000,1.000,5.8,7.9,6.7,5.6,0.0,0.0,0.0,5.7,222,139,-0.7
Reggie Bullock,20230118,DAL,1,ATL,130,DAL,122,35.62,7,11,0.636,4,7,0.5710000000000001,0,0,,0,2,2,2,1,0,1,5,18,-17,.818,.818,.636,.000,0.0,9.6,4.1,7.8,1.4,0.0,8.3,14.6,148,135,2.5
Josh Green,20230118,DAL,1,ATL,130,DAL,122,20.12,3,3,1.0,1,1,1.0,2,4,0.5,1,0,1,1,1,0,1,1,9,-11,.945,1.167,.333,1.333,6.3,0.0,3.6,6.5,2.5,0.0,17.4,12.4,151,134,3.5
Dāvis Bertāns,20230118,DAL,1,ATL,130,DAL,122,6.23,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,3,-3,.750,.750,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,146,140,1.2
Jaden Hardy,20230118,DAL,1,ATL,130,DAL,122,4.35,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,1,0,0,2,+3,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,18.4,0.0,20.0,102,125,2.4
JaVale McGee,20230118,DAL,1,ATL,130,DAL,122,3.15,1,1,1.0,0,0,,1,1,1.0,0,0,0,0,0,0,2,1,3,0,1.042,1.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,58.1,47.4,68,140,-24.4
