Name,Date,Team,Home,W,W_PTS,L,L_PTS,MP,FG,FGA,FG_perc,3P,3PA,3P_perc,FT,FT_perc,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+-,TS_perc,eFG_perc,3PAr,FTA,FTr,ORB_perc,DRB_perc,TRB_perc,AST_perc,STL_perc,BLK_perc,TOV_perc,USG_perc,ORtg,DRtg,BPM
James Harden,20230205,PHI,0,NYK,108,PHI,97,38.2,4,11,0.364,0,4,0.0,4,6,0.667,0,8,8,12,2,1,2,3,12,+15,.440,.364,.364,.545,0.0,20.1,10.8,60.4,2.8,2.9,12.8,19.5,104,112,3.9
Tobias Harris,20230205,PHI,0,NYK,108,PHI,97,38.07,5,12,0.41700000000000004,1,3,0.33299999999999996,3,3,1.0,2,8,10,3,0,1,1,1,14,+4,.526,.458,.250,.250,5.9,20.2,13.6,16.0,0.0,2.9,7.0,17.9,110,118,0.9
Joel Embiid,20230205,PHI,0,NYK,108,PHI,97,36.3,6,16,0.375,1,4,0.25,18,19,0.9470000000000001,2,12,14,3,0,1,5,1,31,+18,.636,.406,.250,1.188,6.2,31.7,19.9,18.0,0.0,3.1,17.0,38.5,115,113,7.5
De'Anthony Melton,20230205,PHI,0,NYK,108,PHI,97,35.83,5,7,0.7140000000000001,3,4,0.75,1,3,0.33299999999999996,0,3,3,3,1,1,1,3,14,+12,.841,.929,.571,.429,0.0,8.0,4.3,17.2,1.5,3.1,10.7,12.4,136,120,6.4
P.J. Tucker,20230205,PHI,0,NYK,108,PHI,97,26.77,4,6,0.667,2,4,0.5,0,0,,1,2,3,1,0,0,1,4,10,+11,.833,.833,.667,.000,4.2,7.2,5.8,7.9,0.0,0.0,14.3,12.4,129,124,0.9
Tyrese Maxey,20230205,PHI,0,NYK,108,PHI,97,23.97,4,8,0.5,0,1,0.0,4,5,0.8,0,1,1,0,0,0,0,3,12,-23,.588,.500,.125,.625,0.0,4.0,2.2,0.0,0.0,0.0,0.0,20.3,119,126,-5.0
Matisse Thybulle,20230205,PHI,0,NYK,108,PHI,97,10.08,0,1,0.0,0,0,,0,0,,3,1,4,0,1,0,0,2,0,-17,.000,.000,.000,.000,33.2,9.5,20.5,0.0,5.3,0.0,0.0,4.7,124,111,0.1
Shake Milton,20230205,PHI,0,NYK,108,PHI,97,9.8,1,5,0.2,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,2,-26,.200,.200,.200,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,42,128,-21.4
Georges Niang,20230205,PHI,0,NYK,108,PHI,97,9.28,0,5,0.0,0,4,0.0,0,0,,0,1,1,1,0,0,1,3,0,-20,.000,.000,.800,.000,0.0,10.3,5.6,17.2,0.0,0.0,16.7,30.8,10,122,-36.1
Paul Reed,20230205,PHI,0,NYK,108,PHI,97,8.42,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-14,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,95,128,-8.5
Montrezl Harrell,20230205,PHI,0,NYK,108,PHI,97,3.28,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-15,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0,126,-26.2
