Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Offense Four Factors,Offense Four Factors,Offense Four Factors,Offense Four Factors,Unnamed: 22_level_0,Defense Four Factors,Defense Four Factors,Defense Four Factors,Defense Four Factors,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0
Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17_level_1,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22_level_1,eFG%,TOV%,DRB%,FT/FGA,Unnamed: 27_level_1,Arena,Attend.,Attend./G
1.0,Boston Celtics,27.3,41.0,16.0,39,18,6.14,-0.32,5.83,117.8,111.6,6.2,98.6,0.254,0.478,0.601,,0.564,12.1,21.8,0.21,,0.529,11.2,79.0,0.177,,TD Garden,555524,18517
2.0,Cleveland Cavaliers,25.4,38.0,22.0,41,19,5.82,-0.09,5.72,115.5,109.5,6.0,95.6,0.272,0.373,0.591,,0.556,12.9,23.8,0.212,,0.532,14.0,77.7,0.203,,Rocket Mortgage Fieldhouse,582960,18805
3.0,Denver Nuggets,26.5,40.0,18.0,36,22,4.28,-0.36,3.91,118.2,113.8,4.4,98.7,0.263,0.35700000000000004,0.609,,0.581,13.5,24.4,0.19699999999999998,,0.546,12.5,77.1,0.20800000000000002,,Ball Arena,571691,19056
4.0,Philadelphia 76ers,28.4,37.0,19.0,35,21,3.86,-0.51,3.35,116.1,112.2,3.9,97.5,0.292,0.392,0.601,,0.5579999999999999,12.7,21.1,0.242,,0.537,13.6,76.6,0.218,,Wells Fargo Center,607846,20262
5.0,Memphis Grizzlies,24.5,34.0,22.0,35,21,3.88,-0.09,3.78,113.9,110.1,3.8,101.5,0.273,0.355,0.563,,0.5329999999999999,12.3,28.1,0.196,,0.522,13.2,76.0,0.203,,FedEx Forum,480353,17155
6.0,Milwaukee Bucks,29.6,39.0,17.0,33,23,3.02,-0.2,2.81,113.7,110.7,3.0,100.1,0.252,0.442,0.5720000000000001,,0.542,13.0,26.0,0.18600000000000003,,0.516,10.7,78.0,0.179,,Fiserv Forum,488868,17460
7.0,Sacramento Kings,25.4,32.0,24.0,32,24,2.52,-0.71,1.81,118.2,115.8,2.4,100.6,0.284,0.414,0.608,,0.57,12.4,21.7,0.22699999999999998,,0.5579999999999999,12.7,77.1,0.201,,Golden 1 Center,498341,17184
8.0,New York Knicks,24.6,32.0,27.0,33,26,1.92,0.03,1.95,116.6,114.7,1.9,96.6,0.287,0.39,0.5670000000000001,,0.528,11.2,28.5,0.221,,0.529,11.4,75.5,0.212,,Madison Square Garden (IV),596990,19258
9.0,New Orleans Pelicans,25.8,30.0,28.0,32,26,1.74,0.05,1.79,114.4,112.6,1.8,99.6,0.285,0.345,0.58,,0.542,13.2,25.6,0.223,,0.544,13.5,77.0,0.209,,Smoothie King Center,499972,16666
